Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,C,Pallavolo Palermo,Palermo,1,Sesti Nunes Mirela,-,-,7.1,5,5,5,4,-,1,-,-,14,-,-,19,-,0.89,0.84,8,1,-,1,0.13,-,-
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,C,Pallavolo Palermo,Palermo,2,Butnaru Elena,-,-,6.3,1,1,1,6,-,13,4,8,11,-,1,1,-,1,1,18,2,3,10,0.56,-,2
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,C,Pallavolo Palermo,Palermo,3,When Li Pan,-,-,6.2,6,6,6,5,-,12,5,8,15,-,-,34,1,0.74,0.62,26,3,-,11,0.42,-,1
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,C,Pallavolo Palermo,Palermo,5,Pantovic Milena,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,C,Pallavolo Palermo,Palermo,7,Menchova Tatiana,-,C,5.5,3,3,3,2,-,17,4,2,15,3,-,7,1,0.86,0.57,43,3,8,16,0.37,-,1
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,C,Pallavolo Palermo,Palermo,8,Bo Anna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,C,Pallavolo Palermo,Palermo,9,Karalyus Olesya,L,-,-,*,*,*,*,-,-,-,-3,-,-,-,22,3,0.59,0.41,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,C,Pallavolo Palermo,Palermo,11,Stepancikova Eva,-,-,6.4,2,2,2,1,-,5,4,5,13,-,1,-,-,-,-,6,-,-,3,0.5,-,1
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,C,Pallavolo Palermo,Palermo,12,Lo Iacono Irma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,C,Pallavolo Palermo,Palermo,13,Vecerkova Micaela,-,-,6.4,4,4,4,3,-,9,1,7,13,1,-,-,-,-,-,17,1,-,9,0.53,-,-
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,C,Pallavolo Palermo,Palermo,14,Moltrasio Antonella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,O,Famila Imola,Imola,1,Sidorenko Tatjana,-,-,6.2,2,1,1,1,-,7,4,2,12,2,-,19,1,0.74,0.68,21,-,2,4,0.19,-,3
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,O,Famila Imola,Imola,2,Pernici Emanuela,L,-,-,*,*,*,*,*,-,-,-1,-,-,-,18,1,0.78,0.72,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,O,Famila Imola,Imola,4,Campanari Barbara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,O,Famila Imola,Imola,6,Serena Valentina,-,-,6,1,*,-,*,-,1,-,1,3,-,-,-,-,-,-,1,-,-,1,1,-,-
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,O,Famila Imola,Imola,7,Ljungquist Angelica,-,C,6.2,6,5,5,5,-,11,6,6,11,-,-,7,-,0.71,0.71,20,3,1,8,0.4,1,3
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,O,Famila Imola,Imola,10,Huurman Francien,-,-,7.1,3,2,2,2,-,15,2,13,21,2,1,8,-,0.88,0.63,18,-,-,13,0.72,-,1
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,O,Famila Imola,Imola,11,Fogalesi Simona,-,-,7.3,*,6,6,6,-,2,1,1,12,-,1,-,-,-,-,4,-,1,1,0.25,-,-
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,O,Famila Imola,Imola,12,Fantaccini Slavka,-,-,6.6,4,3,3,3,-,21,10,17,17,1,1,3,-,1,1,31,2,1,17,0.55,-,3
2001/2002,A1,Coppa_Italia,8th,1,1,0,13/10/2001,0.708333333,-,-,O,Famila Imola,Imola,15,De Luca Barbara,-,-,6.8,5,4,4,4,-,19,5,9,16,4,1,22,1,0.86,0.59,27,5,-,17,0.63,-,1
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,1,Romanò Maria Pia,-,-,6.6,*,-,*,6,-,3,3,1,7,-,1,-,-,-,-,4,1,1,-,-,-,2
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,2,Menchinelli Lenni,L,-,-,*,*,*,*,*,-,-,-2,-,-,-,15,2,0.67,0.47,1,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,3,Gioli Simona,-,-,6.8,3,3,4,3,3,7,2,5,14,1,-,33,1,0.91,0.73,16,-,-,4,0.25,-,3
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,4,Giogoli Francesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,6,De Tassis Ana Paula,-,-,6.6,5,5,6,5,5,7,1,-1,13,2,-,14,-,1,0.57,23,1,5,6,0.26,-,1
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,10,Beccaria Vania,-,-,6,4,4,5,4,4,28,6,17,17,1,1,3,1,0.33,-,60,3,5,26,0.43,1,1
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,12,Nikolic Jelena,-,-,6.5,2,2,3,2,2,21,10,9,19,2,4,36,1,0.86,0.69,41,6,3,17,0.41,-,-
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,14,Katia Andrea Monteiro,-,-,6,1,1,2,1,1,3,1,-1,21,2,-,-,-,-,-,2,1,-,1,0.5,1,2
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,15,Paccagnella Stefania,-,-,6.3,6,6,1,*,6,8,3,5,14,2,-,-,-,-,-,7,1,-,5,0.71,-,3
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,O,Romanelli Firenze,Firenze Romanelli,1,Savostianova Elvira,-,-,6.7,4,4,-,-,-,8,2,4,5,1,-,-,-,-,-,14,1,2,7,0.5,-,1
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,O,Romanelli Firenze,Firenze Romanelli,2,Ranieri Ilaria,-,-,-,*,-,*,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,O,Romanelli Firenze,Firenze Romanelli,4,Barazza Jenny,-,-,6.1,3,3,3,2,2,9,3,4,26,2,2,1,-,-,-,12,-,1,5,0.42,2,2
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,O,Romanelli Firenze,Firenze Romanelli,5,Germanova Aneta,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,O,Romanelli Firenze,Firenze Romanelli,6,Pinese Alessandra,-,C,6.5,1,1,1,6,6,4,1,2,18,2,-,-,-,-,-,6,-,-,1,0.17,-,3
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,O,Romanelli Firenze,Firenze Romanelli,9,Benecke Christina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,O,Romanelli Firenze,Firenze Romanelli,10,Croatto Silvia,-,-,6.6,5,5,5,4,4,17,6,10,20,1,-,30,2,0.83,0.67,29,3,1,15,0.52,-,2
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,O,Romanelli Firenze,Firenze Romanelli,11,Pachale Hanka,-,-,6.3,2,2,2,1,1,16,5,4,20,3,-,28,-,0.86,0.64,58,2,7,16,0.28,-,-
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,O,Romanelli Firenze,Firenze Romanelli,12,Wagner Meika,-,-,6.5,6,6,6,5,5,16,6,8,13,2,-,-,-,-,-,20,3,1,12,0.6,2,4
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,O,Romanelli Firenze,Firenze Romanelli,14,Rocchi Sabrina,L,-,-,*,*,*,*,*,-,-,-4,-,-,-,36,4,0.83,0.64,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,2,0,13/10/2001,0.854166667,-,-,O,Romanelli Firenze,Firenze Romanelli,17,Okrachkova Margarita,-,-,6.5,*,*,4,3,3,12,4,11,8,-,-,-,-,-,-,18,1,-,10,0.56,-,2
2001/2002,A1,Coppa_Italia,8th,1,3,0,14/10/2001,0.645833333,-,-,C,Monte Schiavo Banca Marche,Jesi,1,Lahme Suzanne,-,-,6,2,4,4,4,-,5,2,2,14,1,-,-,-,-,-,9,-,2,3,0.33,-,2
2001/2002,A1,Coppa_Italia,8th,1,3,0,14/10/2001,0.645833333,-,-,C,Monte Schiavo Banca Marche,Jesi,2,Mattiolo Anna Paola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,3,0,14/10/2001,0.645833333,-,-,C,Monte Schiavo Banca Marche,Jesi,3,Marinelli Evelyn,L,-,-,*,*,*,*,-,-,-,-3,-,-,-,24,3,0.71,0.67,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,3,0,14/10/2001,0.645833333,-,-,C,Monte Schiavo Banca Marche,Jesi,4,Bragaglia Antonella,-,-,6.6,5,1,1,1,-,7,2,7,18,-,-,-,-,-,-,11,-,-,5,0.45,-,2
2001/2002,A1,Coppa_Italia,8th,1,3,0,14/10/2001,0.645833333,-,-,C,Monte Schiavo Banca Marche,Jesi,7,Callegaro Cinzia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,3,0,14/10/2001,0.645833333,-,-,C,Monte Schiavo Banca Marche,Jesi,8,Costagrande Carolina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,8th,1,3,0,14/10/2001,0.645833333,-,-,C,Monte Schiavo Banca Marche,Jesi,10,Romanin Alessandra,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
