Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2001/2002,A1,Coppa_Italia,Final,-,1,0,3/2/2002,18:00,13246,48440,C,Noicom Brebanca Cuneo,Cuneo,1,Spescha Simone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,Final,-,1,0,3/2/2002,18:00,13246,48440,C,Noicom Brebanca Cuneo,Cuneo,2,Ferrua Francesco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,Final,-,1,0,3/2/2002,18:00,13246,48440,C,Noicom Brebanca Cuneo,Cuneo,3,Mastrangelo Luigi,-,-,6.7,4,4,5,-,-,9,3,7,8,1,-,1,-,1,1,10,1,-,6,0.6,-,3
2001/2002,A1,Coppa_Italia,Final,-,1,0,3/2/2002,18:00,13246,48440,C,Noicom Brebanca Cuneo,Cuneo,4,De Giorgi Ferdinando,-,-,7.1,5,5,6,-,-,1,1,-,9,1,-,-,-,-,-,2,-,-,-,-,-,1
2001/2002,A1,Coppa_Italia,Final,-,1,0,3/2/2002,18:00,13246,48440,C,Noicom Brebanca Cuneo,Cuneo,5,Omrcen Igor,-,-,-,*,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,Final,-,1,0,3/2/2002,18:00,13246,48440,C,Noicom Brebanca Cuneo,Cuneo,6,Sammelvuo Tuomas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,Final,-,1,0,3/2/2002,18:00,13246,48440,C,Noicom Brebanca Cuneo,Cuneo,7,Cardona Maikel Cristobal,-,-,6.5,1,1,2,-,-,11,4,5,13,3,2,-,-,-,-,10,-,1,5,0.5,2,4
2001/2002,A1,Coppa_Italia,Final,-,1,0,3/2/2002,18:00,13246,48440,C,Noicom Brebanca Cuneo,Cuneo,8,Sartoretti Andrea,-,C,7.1,2,2,3,-,-,22,8,17,18,1,4,-,-,-,-,25,3,1,17,0.68,-,1
2001/2002,A1,Coppa_Italia,Final,-,1,0,3/2/2002,18:00,13246,48440,C,Noicom Brebanca Cuneo,Cuneo,9,Rinaldi Pietro,L,-,-,*,*,*,-,-,-,-,-4,-,-,-,35,4,0.6,0.51,-,-,-,-,-,-,-
2001/2002,A1,Coppa_Italia,Final,-,1,0,3/2/2002,18:00,13246,48440,C,Noicom Brebanca Cuneo,Cuneo,10,Coscione Manuel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
