Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2001/2002,A1,Asystel Novara,1,ANZANELLO SARA,Middleblocker,1980,192,ITA,-
2001/2002,A1,Asystel Novara,2,VIGANÒ NATALIA,Spiker,1979,178,ITA,-
2001/2002,A1,Asystel Novara,4,COSTA DE CONCEICAO EDILMA,Spiker,1972,180,BRA,until 07/12/2001
2001/2002,A1,Asystel Novara,6,ADAMS MONIQUE,Spiker,1970,188,ITA,until 13/12/2001
2001/2002,A1,Asystel Novara,7,HE QUI,Setter,1973,178,CHN,-
2001/2002,A1,Asystel Novara,8,VENTURINI LAURA,Setter,1977,172,ITA,-
2001/2002,A1,Asystel Novara,9,SEKULIC BRANKA,Middleblocker,1971,188,SCG,-
2001/2002,A1,Asystel Novara,10,CARDULLO PAOLA,Libero,1982,162,ITA,-
2001/2002,A1,Asystel Novara,11,SUN YUE,Spiker,1973,186,CHN,-
2001/2002,A1,Asystel Novara,12,OSMOKROVIC NATASA,Spiker,1976,182,CRO,from 22/11/2001
2001/2002,A1,Asystel Novara,13,CENTONI NADIA,Spiker,1981,185,ITA,-
2001/2002,A1,Asystel Novara,14,GUIGGI MARTINA,Middleblocker,1984,188,ITA,-
2001/2002,A1,Asystel Novara,15,CALLONI RAFFAELLA,Middleblocker,1983,186,ITA,-
2001/2002,A1,Caffè Sesso Reggio Calabria,1,POTACHOVA OLGA,Spiker,1976,204,RUS,-
2001/2002,A1,Caffè Sesso Reggio Calabria,2,CERAVOLO ROSALBA,Spiker,1986,180,ITA,from 20/01/2002
2001/2002,A1,Caffè Sesso Reggio Calabria,2,TRAMONTANA MARIA VITTORIA,Libero,1981,-,ITA,from 10/02/2002
2001/2002,A1,Caffè Sesso Reggio Calabria,2,WANG ZHILING,Libero,1974,181,CHN,from 22/12/2001 AL 23/12/2001
2001/2002,A1,Caffè Sesso Reggio Calabria,3,FRANZO CLAUDIA,Spiker,1982,-,-,from 28/10/2001
2001/2002,A1,Caffè Sesso Reggio Calabria,4,TIOURINA ELENA,Spiker,1971,185,RUS,-
2001/2002,A1,Caffè Sesso Reggio Calabria,5,SUSKOVA EVA,Middleblocker,1964,180,ITA,-
2001/2002,A1,Caffè Sesso Reggio Calabria,6,QUN SU LI,Middleblocker,1970,185,CHN,-
2001/2002,A1,Caffè Sesso Reggio Calabria,7,ZHUKOVA IRYNA,Setter,1974,179,UKR,-
2001/2002,A1,Caffè Sesso Reggio Calabria,8,CERIONI MOIRA,Setter,1977,170,ITA,-
