Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2014/2015,A1,Foppapedretti Bergamo,1,MORI EVA,Setter,1996,186,SLO,-
2014/2015,A1,Foppapedretti Bergamo,2,DEESING ALESHA,Middleblocker,1985,186,USA,-
2014/2015,A1,Foppapedretti Bergamo,4,LODA SARA,Spiker,1990,178,ITA,-
2014/2015,A1,Foppapedretti Bergamo,5,PAGGI PAOLA,Middleblocker,1976,182,ITA,-
2014/2015,A1,Foppapedretti Bergamo,7,BLAGOJEVIC JELENA,Spiker,1988,181,SRB,-
2014/2015,A1,Foppapedretti Bergamo,8,MERLO ENRICA,Libero,1988,170,ITA,-
2014/2015,A1,Foppapedretti Bergamo,9,MELANDRI LAURA,Middleblocker,1995,186,ITA,-
2014/2015,A1,Foppapedretti Bergamo,10,RADECKA SADUREK MILENA,Setter,1984,178,POL,-
2014/2015,A1,Foppapedretti Bergamo,15,PLAK CELESTE,Spiker,1995,190,NED,-
2014/2015,A1,Foppapedretti Bergamo,16,MAMBELLI BENEDETTA,Spiker,1995,187,ITA,-
2014/2015,A1,Foppapedretti Bergamo,17,SYLLA MIRIAM,Spiker,1995,181,ITA,-
2014/2015,A1,Foppapedretti Bergamo,18,TASCA FEDERICA,Middleblocker,1989,182,ITA,until 10/03/2015
2014/2015,A1,Igor Gorgonzola Novara,1,PARTENIO LAURA,Spiker,1991,182,ITA,-
2014/2015,A1,Igor Gorgonzola Novara,2,KLINEMAN ALEXANDRA ROSE,Spiker,1989,194,USA,-
2014/2015,A1,Igor Gorgonzola Novara,5,KIM MI NA,Setter,1984,176,ITA,-
2014/2015,A1,Igor Gorgonzola Novara,7,GUIGGI MARTINA,Middleblocker,1984,188,ITA,-
2014/2015,A1,Igor Gorgonzola Novara,9,BONIFACIO SARA,Middleblocker,1996,185,ITA,-
2014/2015,A1,Igor Gorgonzola Novara,10,CHIRICHELLA CRISTINA,Middleblocker,1994,195,ITA,-
2014/2015,A1,Igor Gorgonzola Novara,11,SANSONNA STEFANIA,Libero,1982,175,ITA,-
2014/2015,A1,Igor Gorgonzola Novara,12,ALBERTI VALERIA,Libero,1984,176,ITA,-
2014/2015,A1,Igor Gorgonzola Novara,13,SIGNORILE NOEMI,Setter,1990,183,ITA,-
2014/2015,A1,Igor Gorgonzola Novara,15,HILL KIMBERLY,Spiker,1989,193,USA,-
2014/2015,A1,Igor Gorgonzola Novara,17,BARUN-SUSNJAR KATARINA,Spiker,1983,194,CRO,-
2014/2015,A1,Igor Gorgonzola Novara,18,ZANETTE ELISA,Spiker,1996,193,ITA,-
2014/2015,A1,Il Bisonte Firenze,1,MASTRODICASA FEDERICA,Middleblocker,1988,182,ITA,-
2014/2015,A1,Il Bisonte Firenze,2,PETRUCCI ALESSANDRA,Setter,1983,185,ITA,-
2014/2015,A1,Il Bisonte Firenze,3,LILIOM RITA,Spiker,1986,183,HUN,-
2014/2015,A1,Il Bisonte Firenze,6,TURLEA CARMEN,Spiker,1975,185,ROM,-
2014/2015,A1,Il Bisonte Firenze,7,NEGRINI CHIARA,Spiker,1979,183,ITA,-
2014/2015,A1,Il Bisonte Firenze,8,POGGI ADELE,Spiker,1996,177,ITA,-
2014/2015,A1,Il Bisonte Firenze,9,PASCUCCI GIULIA,Spiker,1993,188,ITA,-
2014/2015,A1,Il Bisonte Firenze,10,PARROCCHIALE BEATRICE,Libero,1995,167,ITA,-
2014/2015,A1,Il Bisonte Firenze,11,SAVELLI LETIZIA,Libero,1985,162,ITA,-
2014/2015,A1,Il Bisonte Firenze,12,PIETRELLI GIULIA,Spiker,1988,180,ITA,-
2014/2015,A1,Il Bisonte Firenze,13,CALLONI RAFFAELLA,Middleblocker,1983,187,ITA,-
2014/2015,A1,Il Bisonte Firenze,15,BERTONE FLORIANA,Middleblocker,1992,202,ITA,-
2014/2015,A1,Il Bisonte Firenze,18,VINGARETTI GIORGIA,Setter,1985,170,ITA,-
2014/2015,A1,Imoco Volley Conegliano,1,GLASS ALISHA,Setter,1988,184,USA,-
2014/2015,A1,Imoco Volley Conegliano,2,VASILANTONAKI ANTHI,Spiker,1996,195,GRE,-
2014/2015,A1,Imoco Volley Conegliano,3,HANCOCK MICHA DANIELLE,Setter,1992,180,USA,from 11/01/2015 until 09/03/2015
2014/2015,A1,Imoco Volley Conegliano,5,FURLAN ELEONORA,Middleblocker,1995,188,ITA,from 01/09/2014
2014/2015,A1,Imoco Volley Conegliano,6,FIORIN VALENTINA,Spiker,1984,187,ITA,-
2014/2015,A1,Imoco Volley Conegliano,8,ADAMS RACHAEL ALEXIS,Middleblocker,1990,190,USA,-
2014/2015,A1,Imoco Volley Conegliano,9,ARIMATTEI SOFIA,Spiker,1981,186,ITA,-
2014/2015,A1,Imoco Volley Conegliano,10,DE GENNARO MONICA,Libero,1987,173,ITA,-
2014/2015,A1,Imoco Volley Conegliano,11,BOSCOSCURO MARTINA,Libero,1988,165,ITA,-
2014/2015,A1,Imoco Volley Conegliano,12,KATIC MARINA,Setter,1983,186,CRO,-
