Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2014/2015,A1,Altotevere Città di Castello - Sansepolcro,1,FRANCESCHINI Alessandro,Middleblocker,1983,197,AR,ITA,-,-
2014/2015,A1,Altotevere Città di Castello - Sansepolcro,3,TEPPAN Renee,Spiker,1993,197,EST,EST,-,-
2014/2015,A1,Altotevere Città di Castello - Sansepolcro,4,LENSI David,Libero,1995,175,PG,ITA,-,-
2014/2015,A1,Altotevere Città di Castello - Sansepolcro,5,CORVETTA Antonio,Setter,1977,188,AN,ITA,-,-
2014/2015,A1,Altotevere Città di Castello - Sansepolcro,6,DOLFO Ludovico,Spiker,1989,195,TV,ITA,-,-
2014/2015,A1,Altotevere Città di Castello - Sansepolcro,7,KASZAP Tamas,Setter,1991,197,SRB,HUN,-,-
2014/2015,A1,Altotevere Città di Castello - Sansepolcro,8,DALDELLO Nicola,Setter,1983,184,TV,ITA,from 12/11/2014,-
2014/2015,A1,Altotevere Città di Castello - Sansepolcro,9,BAROTI Arpad,Spiker,1991,206,HUN,HUN,-,-
2014/2015,A1,Altotevere Città di Castello - Sansepolcro,10,TOSI Federico,Libero,1991,185,LU,ITA,-,-
2014/2015,A1,Altotevere Città di Castello - Sansepolcro,11,DELLA LUNGA Dore,Spiker,1984,194,AN,ITA,-,-
2014/2015,A1,Altotevere Città di Castello - Sansepolcro,12,AGANITS Andri,Middleblocker,1993,207,EST,EST,-,-
2014/2015,A1,Altotevere Città di Castello - Sansepolcro,14,MARIC Goran,Spiker,1981,204,SRB,SRB,-,-
2014/2015,A1,Altotevere Città di Castello - Sansepolcro,15,RANDAZZO Luigi,Spiker,1994,198,CT,ITA,-,-
2014/2015,A1,Altotevere Città di Castello - Sansepolcro,18,MAZZONE Daniele,Middleblocker,1992,207,TO,ITA,-,-
2014/2015,A1,Calzedonia Verona,1,ZINGEL Aidan,Middleblocker,1990,207,AUS,AUS,-,-
2014/2015,A1,Calzedonia Verona,2,COSCIONE Manuel,Setter,1980,188,CN,ITA,-,-
2014/2015,A1,Calzedonia Verona,3,PESARESI Nicola,Libero,1991,190,AN,ITA,-,-
2014/2015,A1,Calzedonia Verona,4,GITTO Carmelo,Middleblocker,1987,200,ME,ITA,-,-
2014/2015,A1,Calzedonia Verona,5,BLASI Alessandro,Setter,1992,190,TS,ITA,-,-
2014/2015,A1,Calzedonia Verona,6,GASPARINI Mitja,Spiker,1984,202,SLO,SLO,-,-
2014/2015,A1,Calzedonia Verona,7,DEROO Sam,Spiker,1992,202,BEL,BEL,-,-
2014/2015,A1,Calzedonia Verona,9,WHITE Adam,Spiker,1989,205,AUS,AUS,-,-
2014/2015,A1,Calzedonia Verona,11,CENTOMO Federico,Libero,1992,182,VR,ITA,-,-
2014/2015,A1,Calzedonia Verona,13,BELLEI Giacomo,Spiker,1988,202,VR,ITA,-,-
2014/2015,A1,Calzedonia Verona,14,BORGOGNO Luca,Spiker,1993,198,CN,ITA,-,-
2014/2015,A1,Calzedonia Verona,15,SANDER Taylor,Spiker,1992,195,USA,USA,-,-
2014/2015,A1,Calzedonia Verona,17,ANZANI Simone,Middleblocker,1992,203,CO,ITA,-,-
2014/2015,A1,CMC Ravenna,1,MENGOZZI Stefano,Middleblocker,1985,205,RA,ITA,-,-
2014/2015,A1,CMC Ravenna,2,RICCI Fabio,Middleblocker,1994,205,RA,ITA,-,-
2014/2015,A1,CMC Ravenna,4,CAVANNA Maximiliano,Setter,1988,188,ARG,ARG,-,-
2014/2015,A1,CMC Ravenna,5,ZAPPOLI GUARIENTI Enrico,Spiker,1995,195,BRA,BRA,-,-
2014/2015,A1,CMC Ravenna,6,TONIUTTI Benjamin,Setter,1989,183,FRA,FRA,until 21/11/2014,-
2014/2015,A1,CMC Ravenna,7,GABRIELE Pasquale,Spiker,1991,203,BA,ITA,-,-
2014/2015,A1,CMC Ravenna,8,JELIAZKOV Jani Nikolaev,Spiker,1992,205,BUL,BUL,-,-
2014/2015,A1,CMC Ravenna,9,KOUMENTAKIS Rafail,Spiker,1993,203,GRE,GRE,-,-
2014/2015,A1,CMC Ravenna,10,GOI Riccardo,Libero,1992,174,MN,ITA,-,-
2014/2015,A1,CMC Ravenna,14,ZANATTA BUIATTI Renan,Spiker,1990,217,BRA,BRA,-,-
2014/2015,A1,CMC Ravenna,15,CESTER Enrico,Middleblocker,1988,204,TV,ITA,-,-
2014/2015,A1,CMC Ravenna,16,BARI Andrea,Libero,1980,185,AN,ITA,-,-
2014/2015,A1,CMC Ravenna,17,MC KIBBIN Riley,Setter,1988,190,USA,USA,from 26/11/2014,-
2014/2015,A1,CMC Ravenna,18,CEBULJ Klemen,Spiker,1992,202,SLO,SLO,-,-
2014/2015,A1,Copra Piacenza,1,ALLETTI Aimone,Middleblocker,1988,207,LO,ITA,-,-
2014/2015,A1,Copra Piacenza,2,PAGE Robart Alexander,Spiker,1992,213,SUI,USA,until 26/01/2015,-
2014/2015,A1,Copra Piacenza,3,MARRA Davide,Libero,1984,180,CS,ITA,-,-
2014/2015,A1,Copra Piacenza,4,POEY Raydel,Spiker,1982,197,CUB,CUB,from 06/12/2014,-
2014/2015,A1,Copra Piacenza,4,LE ROUX Kevin,Spiker,1989,209,FRA,FRA,until 21/11/2014,-
2014/2015,A1,Copra Piacenza,5,VERMIGLIO Valerio,Setter,1976,189,ME,ITA,until 03/01/2015,-
2014/2015,A1,Copra Piacenza,6,PAPI Samuele,Spiker,1973,191,AN,ITA,-,-
2014/2015,A1,Copra Piacenza,7,TER HORST Thijs,Spiker,1991,205,NED,NED,-,-
2014/2015,A1,Copra Piacenza,8,DA SILVA PEDREIRA JUNIOR Mario,Libero,1982,192,BRA,BRA,-,-
2014/2015,A1,Copra Piacenza,9,MASSARI Jacopo,Spiker,1988,185,PR,ITA,-,-
2014/2015,A1,Copra Piacenza,11,ZLATANOV Hristo,Spiker,1976,201,BUL,ITA,-,-
2014/2015,A1,Copra Piacenza,12,OSTAPENKO Aleksej Aleksandrovic,Middleblocker,1986,208,RUS,RUS,-,-
2014/2015,A1,Copra Piacenza,13,TENCATI Luca,Middleblocker,1979,200,CR,ITA,-,-
2014/2015,A1,Copra Piacenza,14,KOHUT Emanuel,Middleblocker,1982,205,SVK,SVK,-,-
2014/2015,A1,Copra Piacenza,15,TAVARES RODRIGUES Miguel,Setter,1993,191,POR,POR,-,-
2014/2015,A1,Copra Piacenza,17,MEONI Marco,Setter,1973,196,PD,ITA,from 09/01/2015,-
2014/2015,A1,Cucine Lube Banca Marche Treia,1,FEI Alessandro,Middleblocker,1978,204,VA,ITA,-,-
2014/2015,A1,Cucine Lube Banca Marche Treia,2,HENNO Hubert,Libero,1976,188,FRA,FRA,-,-
2014/2015,A1,Cucine Lube Banca Marche Treia,3,PARODI Simone,Spiker,1986,195,IM,ITA,-,-
2014/2015,A1,Cucine Lube Banca Marche Treia,4,PAPARONI Alessandro,Libero,1981,191,MC,ITA,-,-
2014/2015,A1,Cucine Lube Banca Marche Treia,6,VITELLI Marco,Middleblocker,1996,201,CH,ITA,-,-
2014/2015,A1,Cucine Lube Banca Marche Treia,7,STANKOVIC Dragan,Middleblocker,1985,205,SRB,SRB,-,-
2014/2015,A1,Cucine Lube Banca Marche Treia,9,KOVAR Jiri,Spiker,1989,202,CZE,ITA,-,-
2014/2015,A1,Cucine Lube Banca Marche Treia,10,SABBI Giulio,Spiker,1989,201,RM,ITA,-,-
2014/2015,A1,Cucine Lube Banca Marche Treia,11,MONOPOLI Natale,Setter,1975,183,VE,ITA,-,-
2014/2015,A1,Cucine Lube Banca Marche Treia,12,BONACIC Dusan,Spiker,1995,196,CHI,CHI,-,-
2014/2015,A1,Cucine Lube Banca Marche Treia,14,SHUMOV Konstantin,Middleblocker,1985,205,RUS,FIN,from 12/09/2014,-
2014/2015,A1,Cucine Lube Banca Marche Treia,15,GARCIA Ricardo,Setter,1975,191,BRA,BRA,from 19/03/2015,-
2014/2015,A1,Cucine Lube Banca Marche Treia,16,KUREK Bartosz,Spiker,1988,207,POL,POL,-,-
2014/2015,A1,Cucine Lube Banca Marche Treia,17,BARANOWICZ Michele,Setter,1989,195,CN,ITA,-,-
2014/2015,A1,Cucine Lube Banca Marche Treia,18,PODRASCANIN Marko,Middleblocker,1987,203,SRB,SRB,-,-
2014/2015,A1,Energy T.I. Diatec Trentino,1,KAZIYSKI Matey,Spiker,1984,203,BUL,BUL,-,-
2014/2015,A1,Energy T.I. Diatec Trentino,2,NELLI Gabriele,Spiker,1993,208,LU,ITA,-,-
2014/2015,A1,Energy T.I. Diatec Trentino,3,BIRARELLI Emanuele,Middleblocker,1981,202,AN,ITA,-,-
2014/2015,A1,Energy T.I. Diatec Trentino,6,ZYGADLO Lukasz,Setter,1979,201,POL,POL,-,-
2014/2015,A1,Energy T.I. Diatec Trentino,7,NEMEC Martin,Spiker,1984,198,SVK,SVK,-,-
2014/2015,A1,Energy T.I. Diatec Trentino,8,THEI Sebastiano,Libero,1991,180,TN,ITA,-,-
2014/2015,A1,Energy T.I. Diatec Trentino,9,GIANNELLI Simone,Setter,1996,196,BZ,ITA,-,-
2014/2015,A1,Energy T.I. Diatec Trentino,10,LANZA Filippo,Spiker,1991,194,VR,ITA,-,-
2014/2015,A1,Energy T.I. Diatec Trentino,11,SOLÉ Sebastian,Middleblocker,1991,202,ARG,ARG,-,-
2014/2015,A1,Energy T.I. Diatec Trentino,12,MAZZONE Tiziano,Spiker,1995,196,RM,ITA,-,-
2014/2015,A1,Energy T.I. Diatec Trentino,13,COLACI Massimo,Libero,1985,180,LE,ITA,-,-
2014/2015,A1,Energy T.I. Diatec Trentino,14,DJURIC Mitar,Spiker,1989,211,BIH,GRE,from 03/04/2015,-
2014/2015,A1,Energy T.I. Diatec Trentino,15,FEDRIZZI Michele,Spiker,1991,192,TN,ITA,-,-
2014/2015,A1,Energy T.I. Diatec Trentino,17,BURGSTHALER Matteo,Middleblocker,1981,198,TN,ITA,-,-
2014/2015,A1,Exprivia Neldiritto Molfetta,1,ZHUKOUSKI Tsimafei,Setter,1989,192,BLR,CRO,until 18/10/2014,-
2014/2015,A1,Exprivia Neldiritto Molfetta,2,CANDELLARO Davide,Middleblocker,1989,200,PD,ITA,-,-
2014/2015,A1,Exprivia Neldiritto Molfetta,3,NODA BLANCO Sergio,Spiker,1987,190,CUB,ESP,-,-
2014/2015,A1,Exprivia Neldiritto Molfetta,4,MICHELUCCI MORALEZ Renan,Middleblocker,1994,200,BRA,BRA,from 02/01/2015,-
2014/2015,A1,Exprivia Neldiritto Molfetta,5,SKET Alen,Spiker,1988,204,SLO,SLO,-,-
2014/2015,A1,Exprivia Neldiritto Molfetta,6,DEL VECCHIO Francesco,Spiker,1987,195,BA,ITA,-,-
2014/2015,A1,Exprivia Neldiritto Molfetta,7,SPIRITO Luca,Setter,1993,199,SV,ITA,-,-
2014/2015,A1,Exprivia Neldiritto Molfetta,8,ROMITI Roberto,Libero,1983,183,FM,ITA,-,-
2014/2015,A1,Exprivia Neldiritto Molfetta,10,KOOISTRA Wytze,Spiker,1982,209,NED,NED,until 25/12/2014,-
2014/2015,A1,Exprivia Neldiritto Molfetta,11,PULITI Leonardo,Spiker,1991,199,TR,ITA,until 23/12/2014,-
2014/2015,A1,Exprivia Neldiritto Molfetta,12,BOSSI Elia,Middleblocker,1994,202,TS,ITA,-,-
2014/2015,A1,Exprivia Neldiritto Molfetta,13,BLAGOJEVIC Aleksandar,Spiker,1993,206,AUT,AUT,-,-
2014/2015,A1,Exprivia Neldiritto Molfetta,14,HIERREZUELO Raydel,Setter,1987,196,CUB,CUB,from 19/10/2014,-
2014/2015,A1,Exprivia Neldiritto Molfetta,15,PORCELLI Alessandro,Libero,1995,178,BA,ITA,-,-
2014/2015,A1,Exprivia Neldiritto Molfetta,16,DESPAIGNE JURQUIN Rolando,Spiker,1987,200,CUB,CUB,from 23/12/2014,-
2014/2015,A1,Exprivia Neldiritto Molfetta,17,TORRES Maurice Armando,Spiker,1991,201,USA,USA,from 25/12/2014,-
2014/2015,A1,Exprivia Neldiritto Molfetta,18,PISCOPO Cosimo Marco,Middleblocker,1983,205,LE,ITA,-,-
2014/2015,A1,Parmareggio Modena,1,MOSSA DE REZENDE Bruno,Setter,1986,190,BRA,BRA,-,-
2014/2015,A1,Parmareggio Modena,2,DONADIO Fabio,Libero,1988,181,MO,ITA,-,-
2014/2015,A1,Parmareggio Modena,3,SALA Andrea,Middleblocker,1978,202,VA,ITA,-,-
2014/2015,A1,Parmareggio Modena,4,PETRIC Nemanja,Spiker,1987,205,SRB,SRB,-,-
2014/2015,A1,Parmareggio Modena,5,BONINFANTE Dante,Setter,1977,188,SA,ITA,-,-
2014/2015,A1,Parmareggio Modena,6,CASADEI Alberto,Spiker,1984,200,FC,ITA,-,-
2014/2015,A1,Parmareggio Modena,7,ROSSINI Salvatore,Libero,1986,184,LT,ITA,-,-
2014/2015,A1,Parmareggio Modena,9,NGAPETH Earvin,Spiker,1991,192,FRA,FRA,-,-
2014/2015,A1,Parmareggio Modena,11,PIANO Matteo,Middleblocker,1990,207,AT,ITA,-,-
2014/2015,A1,Parmareggio Modena,12,VERHEES Pieter,Middleblocker,1989,205,BEL,BEL,-,-
2014/2015,A1,Parmareggio Modena,14,ISHIKAWA Yuki,Spiker,1995,191,JPN,JPN,-,-
2014/2015,A1,Parmareggio Modena,16,KOVACEVIC Uros,Spiker,1993,198,SRB,SRB,-,-
2014/2015,A1,Parmareggio Modena,17,VETTORI Luca,Spiker,1991,199,PR,ITA,-,-
2014/2015,A1,Revivre Milano,1,BENCZ Milan,Spiker,1987,206,SVK,SVK,-,-
2014/2015,A1,Revivre Milano,2,BERMUDEZ Willian Alejandro,Spiker,1994,205,COL,COL,from 22/07/2014,-
2014/2015,A1,Revivre Milano,4,HORSTINK Robert,Spiker,1981,201,NED,NED,-,-
2014/2015,A1,Revivre Milano,5,KAULIAKAMOA JR Joseph Clarence,Setter,1989,198,USA,USA,-,-
2014/2015,A1,Revivre Milano,6,CERBO Andrea,Libero,1985,184,MI,ITA,-,-
2014/2015,A1,Revivre Milano,7,TEMPONI ARAUJO Bruno,Spiker,1986,190,BRA,BRA,-,-
2014/2015,A1,Revivre Milano,8,PATRIARCA Stefano,Middleblocker,1987,205,IS,ITA,-,-
2014/2015,A1,Revivre Milano,9,RIZZO Marco,Libero,1990,185,LE,ITA,-,-
2014/2015,A1,Revivre Milano,10,MATTERA Giordano,Setter,1983,200,RM,ITA,-,-
2014/2015,A1,Revivre Milano,11,DE TOGNI Giorgio,Middleblocker,1985,202,FE,ITA,-,-
2014/2015,A1,Revivre Milano,12,DOS SANTOS Vinicius,Spiker,1986,196,BRA,BRA,-,-
