Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,C,Leo Shoes Modena,Modena,2,Estrada Mazorra Luis Elian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,C,Leo Shoes Modena,Modena,3,Iannelli Nicola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,C,Leo Shoes Modena,Modena,4,Petric Nemanja,-,-,5.9,5,4,4,4,-,11,4,-,12,1,-,12,1,0.33,0.08,24,1,5,9,0.38,-,2
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,C,Leo Shoes Modena,Modena,6,Sanguinetti Giovanni,L,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,C,Leo Shoes Modena,Modena,7,Stankovic Dragan,-,-,6.8,3,2,5,5,-,11,3,4,16,3,3,1,-,1,-,11,-,1,8,0.73,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,C,Leo Shoes Modena,Modena,10,Grebennikov Jenia,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,20,1,0.8,0.3,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,C,Leo Shoes Modena,Modena,11,Christenson Micah,-,-,-,1,6,6,6,-,3,2,1,12,1,-,1,-,-,-,2,-,-,2,1,-,1
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,C,Leo Shoes Modena,Modena,13,Karlitzek Moritz,-,-,6,4,3,3,3,-,14,7,-3,22,4,1,6,1,0.5,0.17,34,3,5,11,0.32,-,2
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,C,Leo Shoes Modena,Modena,14,Vettori Luca,-,-,-,*,-,*,*,-,-,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,C,Leo Shoes Modena,Modena,15,Bossi Elia,-,-,-,-,*,2,2,-,-,-,-1,8,-,-,-,-,-,-,2,-,1,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,C,Leo Shoes Modena,Modena,18,Mazzone Daniele,-,-,-,6,5,-,*,-,3,-,-3,5,2,-,-,-,-,-,6,-,1,3,0.5,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,C,Leo Shoes Modena,Modena,19,Lavia Daniele,-,-,5.5,2,1,1,1,-,13,3,1,12,1,1,30,2,0.5,0.37,25,1,4,12,0.48,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,C,Leo Shoes Modena,Modena,20,Lusetti Matteo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,C,Leo Shoes Modena,Modena,39,Sala Lorenzo,-,-,-,*,*,*,-,-,-,-,-2,4,2,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,O,Vero Volley Monza,Monza Vero Volley,1,Lagumdzija Adis,-,-,6.4,3,6,3,4,-,23,7,10,19,6,2,1,1,-,-,36,1,3,18,0.5,-,3
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,O,Vero Volley Monza,Monza Vero Volley,2,Falgari Simone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,O,Vero Volley Monza,Monza Vero Volley,3,Calligaro Tomasz,-,-,-,*,*,-,-,-,-,-,-2,3,2,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,O,Vero Volley Monza,Monza Vero Volley,4,Dzavoronok Donovan,-,-,5.9,1,4,1,2,-,11,4,-,18,6,-,34,2,0.5,0.24,24,3,-,9,0.38,-,2
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,O,Vero Volley Monza,Monza Vero Volley,5,Orduna Santiago,-,-,-,6,3,6,1,-,2,1,-3,12,3,-,1,-,-,-,1,-,-,1,1,-,1
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,O,Vero Volley Monza,Monza Vero Volley,6,Federici Filippo,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,14,1,0.57,0.36,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,O,Vero Volley Monza,Monza Vero Volley,7,Sedlacek Marko,-,-,6.2,4,1,4,5,-,21,8,12,10,2,1,27,1,0.67,0.3,29,4,1,16,0.55,-,4
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,O,Vero Volley Monza,Monza Vero Volley,10,Brunetti Davide,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,O,Vero Volley Monza,Monza Vero Volley,11,Galassi Gianluca,-,-,-,2,2,*,*,-,2,-,-2,4,3,-,-,-,-,-,4,-,-,2,0.5,-,-
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,O,Vero Volley Monza,Monza Vero Volley,12,Holt Maxwell Philip,-,-,7.2,5,5,5,3,-,14,5,2,20,4,2,-,-,-,-,10,-,1,9,0.9,-,3
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,O,Vero Volley Monza,Monza Vero Volley,13,Beretta Thomas,-,-,6.3,*,*,2,6,-,5,4,-3,11,1,-,-,-,-,-,4,-,-,1,0.25,-,4
2020/2021,A1,Regular_Season,1st,1,-,1,27/9/2020,18:00,1366,19065,O,Vero Volley Monza,Monza Vero Volley,15,Ramirez Pita Daniel Alejandro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,C,Sir Safety Conad Perugia,Perugia,1,Piccinelli Alessandro,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,C,Sir Safety Conad Perugia,Perugia,2,Ricci Fabio,-,-,6.8,5,6,5,-,-,6,1,-,10,1,-,2,-,-,-,8,-,1,6,0.75,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,C,Sir Safety Conad Perugia,Perugia,3,Vernon-Evans Sharone,-,-,-,*,-,*,-,-,3,1,2,2,-,-,-,-,-,-,5,-,-,3,0.6,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,C,Sir Safety Conad Perugia,Perugia,4,Travica Dragan,-,-,7,3,4,3,-,-,-,-,-4,12,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,C,Sir Safety Conad Perugia,Perugia,5,Ter Horst Thijs,-,-,5.7,6,1,6,-,-,14,3,8,12,1,2,-,-,-,-,21,3,1,11,0.52,-,1
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,C,Sir Safety Conad Perugia,Perugia,6,Russo Roberto,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,C,Sir Safety Conad Perugia,Perugia,7,Sossenheimer David,-,-,-,-,-,*,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,C,Sir Safety Conad Perugia,Perugia,8,Biglino Omar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,C,Sir Safety Conad Perugia,Perugia,9,Leon Venero Wilfredo,-,-,6,4,5,4,-,-,21,11,7,22,3,9,28,1,0.57,0.29,21,2,2,12,0.57,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,C,Sir Safety Conad Perugia,Perugia,10,Zimmermann Jan,-,-,-,*,*,-,-,-,-,-,-2,2,2,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,C,Sir Safety Conad Perugia,Perugia,11,Solé Sebastian,-,-,5.5,2,3,2,-,-,5,1,-,8,-,-,1,-,1,1,11,2,-,5,0.45,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,C,Sir Safety Conad Perugia,Perugia,13,Colaci Massimo,L,-,-,*,*,*,-,-,-,-,-,-,-,-,16,-,0.56,0.31,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,C,Sir Safety Conad Perugia,Perugia,14,Atanasijevic Aleksandar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,C,Sir Safety Conad Perugia,Perugia,17,Plotnytskyi Oleh,-,-,6,1,2,1,-,-,15,9,4,15,4,3,14,-,0.5,0.36,21,2,1,9,0.43,-,3
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,O,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,1,Chinenyeze Barthelemy,-,-,7.5,5,5,5,-,-,12,4,4,10,1,-,1,-,-,-,9,-,-,9,1,-,3
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,O,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,2,Chakravorti Dante,-,-,-,*,-,*,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,O,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,3,Sardanelli Simone,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,O,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,4,Gargiulo Giovanni Maria,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,O,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,5,Drame Neto Aboubacar,-,-,6.1,6,6,6,-,-,14,3,4,10,5,-,-,-,-,-,24,2,2,14,0.58,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,O,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,6,Dirlic Petar,-,-,-,*,-,*,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,O,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,7,Fioretti Andrea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,O,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,8,Saitta Davide,-,-,6.9,3,3,3,-,-,3,-,1,17,2,-,-,-,-,-,3,-,-,2,0.67,-,1
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,O,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,9,Rossard Thibault,-,-,5.8,4,4,4,-,-,13,3,4,13,2,-,27,2,0.52,0.19,26,2,-,13,0.5,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,O,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,10,Corrado Francesco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,2,30/9/2020,20:30,817,3470,O,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,11,Rizzo Marco,L,-,-,*,*,*,-,-,-,-,-6,-,-,-,16,6,0.13,0.13,-,-,-,-,-,-,-
