Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,3,1,6,16,20,23,8,14,21,25,8,16,21,25,4,7,11,12,5,16,21,25,8,13,13,15,8,16,21,25,5,10,15,19,-,-,-,-,-,-,-,-,80,37,53,97,13,5,66,3,0.7,0.5,113,8,3,67,0.59,-,8
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,O,Vbc Èpiù Casalmaggiore,Casalmaggiore,1,3,8,14,21,25,6,16,20,23,4,7,11,12,8,16,21,25,8,13,13,15,5,16,21,25,5,10,15,19,8,16,21,25,-,-,-,-,-,-,-,-,44,13,15,72,6,1,84,9,0.56,0.37,115,6,8,40,0.35,-,3
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,C,Saugella Monza,Monza,3,1,8,16,21,25,7,10,12,13,7,16,21,25,8,14,17,22,5,12,19,21,8,16,21,25,7,15,21,25,8,16,19,22,-,-,-,-,-,-,-,-,76,26,45,95,11,3,73,4,0.68,0.34,134,12,4,64,0.48,-,9
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,O,Unet E-Work Busto Arsizio,Busto Arsizio Uyba,1,3,7,10,12,13,8,16,21,25,8,14,17,22,7,16,21,25,8,16,21,25,5,12,19,21,8,16,19,22,7,15,21,25,-,-,-,-,-,-,-,-,56,14,24,83,10,2,84,6,0.67,0.43,129,7,9,50,0.39,-,4
2020/2021,A1,Regular_Season,1st,1,-,3002,20/9/2020,17:00,-,-,C,Zanetti Bergamo,Volley Bergamo,2,3,8,15,21,23,7,16,20,25,8,16,21,25,4,14,19,22,8,16,21,25,7,14,16,19,7,13,19,21,8,16,21,25,-,5,6,6,5,10,12,15,71,21,25,100,16,3,95,10,0.48,0.28,142,8,12,63,0.44,-,5
2020/2021,A1,Regular_Season,1st,1,-,3002,20/9/2020,17:00,-,-,O,Savino Del Bene Scandicci,Scandicci,3,2,7,16,20,25,8,15,21,23,4,14,19,22,8,16,21,25,7,14,16,19,8,16,21,25,8,16,21,25,7,13,19,21,5,10,12,15,-,5,6,6,76,31,41,105,10,3,84,6,0.48,0.32,149,13,5,62,0.42,-,11
2020/2021,A1,Regular_Season,1st,1,-,3003,20/9/2020,16:00,-,-,C,Il Bisonte Firenze,Azzurra Volley San Casciano,1,3,7,16,19,23,8,15,21,25,8,16,21,25,7,11,18,23,8,16,20,21,6,14,21,25,8,16,18,21,3,10,21,25,-,-,-,-,-,-,-,-,68,29,21,91,10,8,90,13,0.57,0.23,148,9,12,53,0.36,-,7
2020/2021,A1,Regular_Season,1st,1,-,3003,20/9/2020,16:00,-,-,O,Bosca S.Bernardo Cuneo,S.Bernardo Cuneo,3,1,8,15,21,25,7,16,19,23,7,11,18,23,8,16,21,25,6,14,21,25,8,16,20,21,3,10,21,25,8,16,18,21,-,-,-,-,-,-,-,-,73,33,38,97,7,6,81,11,0.41,0.11,142,9,7,55,0.39,-,12
2020/2021,A1,Regular_Season,1st,1,-,3004,19/9/2020,20:00,-,-,C,Bartoccini Fortinfissi Perugia,Bartoccini Gioiellerie Perugia,0,3,4,11,14,22,8,16,21,25,5,11,16,18,8,16,21,25,7,12,14,20,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,12,11,62,10,1,65,7,0.66,0.54,108,5,9,36,0.33,-,5
2020/2021,A1,Regular_Season,1st,1,-,3004,19/9/2020,20:00,-,-,O,Reale Mutua Fenera Chieri,Fenera Chieri '76,3,0,8,16,21,25,4,11,14,22,8,16,21,25,5,11,16,18,8,16,21,25,7,12,14,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,26,31,73,8,3,52,4,0.67,0.46,101,8,5,44,0.44,-,9
2020/2021,A1,Regular_Season,1st,1,-,3005,20/9/2020,18:00,154,-,C,Delta Despar Trentino,Delta Informatica Trentino,3,0,8,16,21,25,7,12,15,18,6,13,21,26,8,16,20,24,8,16,21,25,5,13,17,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,23,25,74,10,4,49,4,0.63,0.43,101,7,5,37,0.37,-,10
2020/2021,A1,Regular_Season,1st,1,-,3005,20/9/2020,18:00,154,-,O,Banca Valsabbina Millenium Brescia,Millenium Brescia,0,3,7,12,15,18,8,16,21,25,8,16,20,24,6,13,21,26,5,13,17,19,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,14,-1,63,14,2,64,10,0.55,0.3,109,10,10,36,0.33,-,5
