Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,C,Vbc ﾃ・iﾃｹ Casalmaggiore,Casalmaggiore,2,Stufi Federica,-,C,-,5,5,5,2,-,5,2,2,7,1,-,2,-,1,0.5,9,1,1,4,0.44,-,1
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,C,Vbc ﾃ・iﾃｹ Casalmaggiore,Casalmaggiore,4,Partenio Laura,-,-,-,1,1,1,-,-,3,2,-3,5,-,-,15,3,0.47,0.33,10,-,3,3,0.3,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,C,Vbc ﾃ・iﾃｹ Casalmaggiore,Casalmaggiore,5,Sirressi Imma,L,-,-,*,*,*,*,-,-,-,-3,-,-,-,18,3,0.5,0.39,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,C,Vbc ﾃ・iﾃｹ Casalmaggiore,Casalmaggiore,6,Bonciani Francesca,-,-,-,6,6,6,3,-,1,1,1,8,-,-,-,-,-,-,4,-,-,1,0.25,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,C,Vbc ﾃ・iﾃｹ Casalmaggiore,Casalmaggiore,7,Montibeller Rosamaria,-,-,-,3,3,3,6,-,20,2,11,18,2,-,-,-,-,-,42,3,4,20,0.48,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,C,Vbc ﾃ・iﾃｹ Casalmaggiore,Casalmaggiore,9,Melandri Laura,-,-,-,2,2,2,*,-,2,-,2,10,-,-,-,-,-,-,9,-,-,2,0.22,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,C,Vbc ﾃ・iﾃｹ Casalmaggiore,Casalmaggiore,10,Vanzurova Tereza,-,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,C,Vbc ﾃ・iﾃｹ Casalmaggiore,Casalmaggiore,11,Ciarrocchi Michela,-,-,-,*,*,*,*,-,1,1,1,9,-,1,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,C,Vbc ﾃ・iﾃｹ Casalmaggiore,Casalmaggiore,15,Bajema Kara,-,-,-,*,*,*,4,-,1,1,-2,3,1,-,10,1,0.7,0.5,10,1,-,1,0.1,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,C,Vbc ﾃ・iﾃｹ Casalmaggiore,Casalmaggiore,16,Vasileva Elitsa,-,-,-,4,4,4,1,-,11,4,6,10,2,-,39,2,0.56,0.33,31,1,-,9,0.29,-,2
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,C,Vbc ﾃ・iﾃｹ Casalmaggiore,Casalmaggiore,18,Kosareva Dayana,-,-,-,*,-,-,5,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,O,Imoco Volley Conegliano,Imoco Volley Conegliano,1,Caravello Lara,-,-,-,*,-,*,*,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,O,Imoco Volley Conegliano,Imoco Volley Conegliano,3,Gicquel Lucille,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,O,Imoco Volley Conegliano,Imoco Volley Conegliano,4,Butigan Bozana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,O,Imoco Volley Conegliano,Imoco Volley Conegliano,5,De Kruijf Robin,-,-,-,5,6,1,6,-,9,6,8,16,1,1,1,-,-,-,10,-,-,4,0.4,-,4
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,O,Imoco Volley Conegliano,Imoco Volley Conegliano,9,Omoruyi Loveth Oghosasere,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,O,Imoco Volley Conegliano,Imoco Volley Conegliano,10,De Gennaro Monica,L,-,-,*,*,*,*,-,-,-,-,-,-,-,14,-,0.86,0.71,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,O,Imoco Volley Conegliano,Imoco Volley Conegliano,11,Adams Mckenzie Elise,-,-,-,4,5,6,5,-,18,8,9,11,4,-,22,1,0.68,0.36,33,4,-,16,0.48,-,2
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,O,Imoco Volley Conegliano,Imoco Volley Conegliano,13,Gennari Giulia,-,-,-,-,-,*,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,O,Imoco Volley Conegliano,Imoco Volley Conegliano,14,Wolosz Joanna,-,C,-,6,1,2,1,-,1,-,1,14,-,-,2,-,-,-,2,-,-,1,0.5,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,O,Imoco Volley Conegliano,Imoco Volley Conegliano,17,Sylla Miriam,-,-,-,1,2,3,2,-,13,8,10,14,-,-,27,2,0.7,0.56,20,1,-,11,0.55,-,2
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,O,Imoco Volley Conegliano,Imoco Volley Conegliano,18,Egonu Paola,-,-,-,3,4,5,4,-,25,12,13,26,6,3,-,-,-,-,33,3,3,22,0.67,-,-
2020/2021,A1,Regular_Season,1st,1,-,3000,20/9/2020,17:00,-,-,O,Imoco Volley Conegliano,Imoco Volley Conegliano,19,Fahr Sarah,-,-,-,2,3,4,3,-,14,3,12,10,2,1,-,-,-,-,15,-,-,13,0.87,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,C,Unet E-Work Busto Arsizio,Busto Arsizio Uyba,1,Poulter Jordyn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,C,Unet E-Work Busto Arsizio,Busto Arsizio Uyba,3,Olivotto Rossella,-,-,-,2,2,5,*,-,1,-,-1,7,1,-,-,-,-,-,2,1,-,1,0.5,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,C,Unet E-Work Busto Arsizio,Busto Arsizio Uyba,6,Gennari Alessia,-,C,-,4,4,1,4,-,16,5,10,14,2,1,27,-,0.63,0.41,35,1,3,15,0.43,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,C,Unet E-Work Busto Arsizio,Busto Arsizio Uyba,7,Bonelli Asia,-,-,-,6,6,3,6,-,1,-,-1,14,1,-,1,1,-,-,1,-,-,1,1,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,C,Unet E-Work Busto Arsizio,Busto Arsizio Uyba,8,Gray Alexa,-,-,-,-,1,4,1,-,5,1,-,16,1,1,20,2,0.6,0.4,17,1,1,4,0.24,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,C,Unet E-Work Busto Arsizio,Busto Arsizio Uyba,9,Leonardi Giulia,L,-,-,*,*,*,*,-,-,-,-2,-,-,-,24,2,0.71,0.5,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,C,Unet E-Work Busto Arsizio,Busto Arsizio Uyba,11,Mingardi Camilla,-,-,-,3,3,6,3,-,23,6,14,13,3,-,1,-,1,-,55,2,4,23,0.42,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,C,Unet E-Work Busto Arsizio,Busto Arsizio Uyba,12,Piccinini Francesca,-,-,-,1,-,-,*,-,1,-,-1,1,-,-,10,1,0.8,0.4,5,-,1,1,0.2,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,C,Unet E-Work Busto Arsizio,Busto Arsizio Uyba,13,Cucco Chiara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,C,Unet E-Work Busto Arsizio,Busto Arsizio Uyba,15,Stevanovic Jovana,-,-,-,5,5,2,5,-,9,2,7,11,1,-,1,-,1,1,11,1,-,5,0.45,-,4
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,C,Unet E-Work Busto Arsizio,Busto Arsizio Uyba,17,Escamilla Ana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,C,Unet E-Work Busto Arsizio,Busto Arsizio Uyba,18,Bulovic Katarina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,C,Unet E-Work Busto Arsizio,Busto Arsizio Uyba,23,Herrera Blanco Liset,-,-,-,-,*,*,2,-,-,-,-2,7,1,-,-,-,-,-,3,1,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,O,Saugella Monza,Monza,3,Carraro Giulia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,O,Saugella Monza,Monza,4,Squarcini Federica,-,-,-,*,*,-,*,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,O,Saugella Monza,Monza,5,Heyrman Laura,-,C,-,3,4,3,1,-,17,4,15,15,-,-,1,-,1,1,21,1,1,15,0.71,-,2
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,O,Saugella Monza,Monza,7,Van Hecke Lise,-,-,-,1,2,1,5,-,20,7,14,18,4,1,1,-,1,-,35,2,-,17,0.49,-,2
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,O,Saugella Monza,Monza,8,Orro Alessia,-,-,-,4,5,4,2,-,3,2,2,16,1,-,-,-,-,-,2,-,-,2,1,-,1
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,O,Saugella Monza,Monza,10,Begic Edina,-,-,-,-,-,*,*,-,-,-,-,-,-,-,3,-,0.67,0.33,2,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,O,Saugella Monza,Monza,11,Danesi Anna,-,-,-,6,1,6,4,-,9,4,9,9,-,-,1,-,1,1,10,-,-,5,0.5,-,4
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,O,Saugella Monza,Monza,12,Orthmann Hanna,-,-,-,2,3,2,6,-,17,5,7,14,3,1,28,2,0.68,0.36,36,4,1,16,0.44,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,O,Saugella Monza,Monza,14,Meijners Floortje,-,-,-,5,6,5,3,-,10,4,-,17,3,1,14,-,0.64,0.29,28,5,2,9,0.32,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,O,Saugella Monza,Monza,16,Obossa Josephine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,O,Saugella Monza,Monza,18,Davyskiba Anna,-,-,-,-,-,*,*,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,O,Saugella Monza,Monza,20,Parrocchiale Beatrice,L,-,-,*,*,*,*,-,-,-,-2,-,-,-,25,2,0.68,0.32,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3001,19/9/2020,20:30,-,-,O,Saugella Monza,Monza,99,Negretti Beatrice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3002,20/9/2020,17:00,-,-,C,Savino Del Bene Scandicci,Scandicci,3,Stysiak Magdalena,-,-,-,4,6,3,2,4,33,15,20,17,4,1,2,1,-,-,57,7,-,29,0.51,-,3
2020/2021,A1,Regular_Season,1st,1,-,3002,20/9/2020,17:00,-,-,C,Savino Del Bene Scandicci,Scandicci,4,Malinov Ofelia,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020/2021,A1,Regular_Season,1st,1,-,3002,20/9/2020,17:00,-,-,C,Savino Del Bene Scandicci,Scandicci,5,Popovic Mina,-,-,-,3,*,2,6,2,6,3,3,19,1,-,-,-,-,-,16,2,-,4,0.25,-,2
2020/2021,A1,Regular_Season,1st,1,-,3002,20/9/2020,17:00,-,-,C,Savino Del Bene Scandicci,Scandicci,6,Markovic Srna,-,-,-,5,1,4,-,-,10,2,8,8,-,-,13,-,0.31,0.23,20,2,-,9,0.45,-,1
