Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2005/2006,A1,Alfieri Volley Santeramo,2,BURKHOLDER DANA ELIZABETH,Setter,1980,175,USA,until 03/12/2005
2005/2006,A1,Alfieri Volley Santeramo,3,BUCKOVA KATERINA,Middleblocker,1978,194,CZE,-
2005/2006,A1,Alfieri Volley Santeramo,4,GLASS KIMBERLY,Spiker,1984,192,USA,from 02/01/2006
2005/2006,A1,Alfieri Volley Santeramo,5,LARSEN PIA,Spiker,1977,182,DEN,-
2005/2006,A1,Alfieri Volley Santeramo,6,TURLEA CARMEN,Spiker,1975,185,ROM,-
2005/2006,A1,Alfieri Volley Santeramo,7,CAPUANO PAOLA,Spiker,1978,180,ITA,-
2005/2006,A1,Alfieri Volley Santeramo,8,TRIPIEDI MONICA,Libero,1979,177,ITA,-
2005/2006,A1,Alfieri Volley Santeramo,9,ERICSSON MALIN,Setter,1974,179,SWE,from 07/01/2006
2005/2006,A1,Alfieri Volley Santeramo,13,SIRRESSI IMMA,Libero,1990,173,ITA,-
2005/2006,A1,Alfieri Volley Santeramo,14,SZEKELYOVA ALICA,Setter,1981,184,SVK,-
2005/2006,A1,Alfieri Volley Santeramo,15,NARDINI DANIELA,Middleblocker,1982,182,ITA,-
2005/2006,A1,Alfieri Volley Santeramo,16,MASONI MARIANNA,Spiker,1986,188,ITA,-
2005/2006,A1,Alfieri Volley Santeramo,17,MARULLI MONICA,Middleblocker,1975,196,ITA,-
2005/2006,A1,Bigmat Kerakoll Chieri,1,MARLETTA VALERIA,Middleblocker,1976,190,ITA,-
2005/2006,A1,Bigmat Kerakoll Chieri,2,SCOTT-ARRUDA DANIELLE,Middleblocker,1972,188,USA,-
2005/2006,A1,Bigmat Kerakoll Chieri,3,FERRETTI FRANCESCA,Setter,1984,180,ITA,-
2005/2006,A1,Bigmat Kerakoll Chieri,4,SIGNORILE NOEMI,Spiker,1990,183,ITA,-
2005/2006,A1,Bigmat Kerakoll Chieri,5,MARI FRANCESCA,Setter,1983,182,ITA,-
2005/2006,A1,Bigmat Kerakoll Chieri,6,FIORIN VALENTINA,Spiker,1984,187,ITA,-
2005/2006,A1,Bigmat Kerakoll Chieri,7,KIRILLOVA IRINA,Setter,1965,180,CRO,from 02/12/2005
2005/2006,A1,Bigmat Kerakoll Chieri,9,PACHALE HANKA,Spiker,1976,190,GER,-
2005/2006,A1,Bigmat Kerakoll Chieri,10,MAUTINO BRUNA,Spiker,1990,179,ITA,-
2005/2006,A1,Bigmat Kerakoll Chieri,12,VINCENZI CRISTINA,Middleblocker,1979,184,ITA,-
2005/2006,A1,Bigmat Kerakoll Chieri,13,BORRI MAURIZIA,Libero,1977,177,ITA,-
2005/2006,A1,Bigmat Kerakoll Chieri,15,PETROLO SARA,Libero,1985,170,ITA,-
2005/2006,A1,Bigmat Kerakoll Chieri,17,GODINA ELENA,Spiker,1977,197,RUS,-
2005/2006,A1,Despar Perugia,1,MOREIRA DE OLIVEIRA WALEWSKA,Middleblocker,1979,190,BRA,-
2005/2006,A1,Despar Perugia,2,MORELLI ALESSIA,Spiker,1985,172,ITA,-
2005/2006,A1,Despar Perugia,3,SWIENIEWICZ DOROTA,Spiker,1972,180,POL,-
2005/2006,A1,Despar Perugia,4,CRISANTI LUCIA,Middleblocker,1986,186,ITA,-
2005/2006,A1,Despar Perugia,5,ZETOVA ANTONINA,Spiker,1973,190,BUL,-
2005/2006,A1,Despar Perugia,6,DI IULIO CHIARA,Spiker,1985,185,ITA,-
2005/2006,A1,Despar Perugia,7,FOFAO ROGERIO DE SOUZA HELIA,Setter,1970,172,BRA,-
2005/2006,A1,Despar Perugia,8,VENTURINI LAURA,Setter,1977,172,ITA,-
2005/2006,A1,Despar Perugia,9,ARCANGELI CHIARA,Libero,1983,165,ITA,-
2005/2006,A1,Despar Perugia,11,MEZZASOMA ELISA,Middleblocker,1990,178,ITA,from 25/01/2006
2005/2006,A1,Despar Perugia,12,USIC SENNA,Spiker,1986,190,CRO,-
2005/2006,A1,Despar Perugia,13,FRANCIA VASCONCELOS MIRKA,Spiker,1975,184,ITA,-
2005/2006,A1,Despar Perugia,17,GIOLI SIMONA,Middleblocker,1977,185,ITA,until 03/01/2006
2005/2006,A1,Megius Volley Padova,2,MERLO ENRICA,Libero,1988,170,ITA,-
2005/2006,A1,Megius Volley Padova,3,ESKO SAARA,Spiker,1980,178,FIN,-
2005/2006,A1,Megius Volley Padova,4,LEGGERI MANUELA,Middleblocker,1976,186,ITA,-
2005/2006,A1,Megius Volley Padova,5,DALL'ORA CHIARA,Middleblocker,1983,187,ITA,-
2005/2006,A1,Megius Volley Padova,6,MANIERO ANNA,Spiker,-,-,-,from 09/10/2005
2005/2006,A1,Megius Volley Padova,7,KULAKOVA OLESSYA,Middleblocker,1977,190,GER,from 16/01/2006
2005/2006,A1,Megius Volley Padova,8,OUZUNOVA SLAVKA,Spiker,1970,184,BUL,-
2005/2006,A1,Megius Volley Padova,9,CENTONI NADIA,Spiker,1981,185,ITA,-
2005/2006,A1,Megius Volley Padova,10,TORRES HERRERA REGLA,Middleblocker,1975,191,CUB,until 13/01/2006
2005/2006,A1,Megius Volley Padova,11,RONDON CINDY,Spiker,1988,184,DOM,from 28/01/2006
2005/2006,A1,Megius Volley Padova,12,VANNINI FRANCESCA,Setter,1973,170,ITA,-
2005/2006,A1,Megius Volley Padova,13,BARBIERI BARBARA,Libero,1975,170,ITA,-
2005/2006,A1,Megius Volley Padova,14,GLIGOROVIC BILJANA,Setter,1982,182,CRO,-
2005/2006,A1,Megius Volley Padova,15,CORJEUTANU MIRELA,Spiker,1977,192,ROM,-
2005/2006,A1,Minetti Infoplus Vicenza,1,SQUIZZATO MICHELA,Setter,1987,-,-,from 02/04/2006
2005/2006,A1,Minetti Infoplus Vicenza,1,STAROVIC SANJA,Spiker,1983,198,SCG,until 08/01/2006
2005/2006,A1,Minetti Infoplus Vicenza,2,ARRIGHETTI VALENTINA,Middleblocker,1985,189,ITA,-
2005/2006,A1,Minetti Infoplus Vicenza,3,DJERISILO IVANA,Spiker,1983,188,SCG,-
2005/2006,A1,Minetti Infoplus Vicenza,5,SLIWA MAGDALENA,Setter,1969,173,POL,-
2005/2006,A1,Minetti Infoplus Vicenza,6,ADAMS MONIQUE,Spiker,1970,189,USA,until 17/01/2006
2005/2006,A1,Minetti Infoplus Vicenza,7,DALL'IGNA STEFANIA,Setter,1984,175,ITA,-
2005/2006,A1,Minetti Infoplus Vicenza,8,BORRELLI VALENTINA,Spiker,1978,190,ITA,-
2005/2006,A1,Minetti Infoplus Vicenza,9,CROZZOLIN ALESSANDRA,Middleblocker,1977,189,ITA,-
2005/2006,A1,Minetti Infoplus Vicenza,10,ASTARITA GIUSY,Middleblocker,1988,182,ITA,-
2005/2006,A1,Minetti Infoplus Vicenza,11,TAKAHASHI MIYUKI,Spiker,1978,175,JPN,-
2005/2006,A1,Minetti Infoplus Vicenza,12,MARCHIORON GIADA,Spiker,1987,179,ITA,from 22/01/2006
2005/2006,A1,Minetti Infoplus Vicenza,13,SKOWRONSKA KATARZYNA,Spiker,1983,187,POL,-
2005/2006,A1,Minetti Infoplus Vicenza,14,ANTONUCCI ILARIA,Spiker,1987,184,ITA,from 22/01/2006
2005/2006,A1,Minetti Infoplus Vicenza,15,PACCAGNELLA STEFANIA,Middleblocker,1973,186,ITA,-
2005/2006,A1,Minetti Infoplus Vicenza,16,TIROZZI VALENTINA,Spiker,1986,183,ITA,until 14/12/2005
2005/2006,A1,Minetti Infoplus Vicenza,17,DE GENNARO MONICA,Libero,1987,173,ITA,-
2005/2006,A1,Minetti Infoplus Vicenza,18,BEDIN VALENTINA,Spiker,1985,-,-,from 01/02/2006
2005/2006,A1,Minetti Infoplus Vicenza,18,STROBBE MARILYN,Middleblocker,1989,189,ITA,-
2005/2006,A1,Monte Schiavo Banca Marche Jesi,1,CIMOLI VALERIA,Setter,1986,182,ITA,-
2005/2006,A1,Monte Schiavo Banca Marche Jesi,2,PETKOVA ILIYANA,Middleblocker,1977,191,BUL,-
2005/2006,A1,Monte Schiavo Banca Marche Jesi,3,TOGUT ELISA,Spiker,1978,192,ITA,-
