Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2005/2006,A1,Acqua Paradiso Gabeca Montichiari,1,SALA Andrea,Middleblocker,1978,202,VA,ITA,-,-
2005/2006,A1,Acqua Paradiso Gabeca Montichiari,2,MEGGIOLARO Erardo,Setter,1977,192,PD,ITA,-,-
2005/2006,A1,Acqua Paradiso Gabeca Montichiari,4,NUMMERDOR Reinder,Spiker,1976,194,NED,NED,-,-
2005/2006,A1,Acqua Paradiso Gabeca Montichiari,5,INSALATA Vito,Middleblocker,1977,194,BA,ITA,-,-
2005/2006,A1,Acqua Paradiso Gabeca Montichiari,6,SARACENI Gianluca,Spiker,1979,200,RM,ITA,-,-
2005/2006,A1,Acqua Paradiso Gabeca Montichiari,7,JERONCIC Gregor,Middleblocker,1974,200,SLO,SLO,-,-
2005/2006,A1,Acqua Paradiso Gabeca Montichiari,8,SUXHO Donald,Setter,1976,196,ALB,USA,from 04/01/2006,-
2005/2006,A1,Acqua Paradiso Gabeca Montichiari,9,RINALDI Pietro,Libero,1972,197,RM,ITA,-,-
2005/2006,A1,Acqua Paradiso Gabeca Montichiari,11,BONINFANTE Dante,Setter,1977,188,SA,ITA,-,-
2005/2006,A1,Acqua Paradiso Gabeca Montichiari,12,MUZIO Fabio,Spiker,1980,198,NA,ITA,-,-
2005/2006,A1,Acqua Paradiso Gabeca Montichiari,13,PERAZZOLO Lorenzo,Spiker,1984,198,MN,ITA,-,-
2005/2006,A1,Acqua Paradiso Gabeca Montichiari,15,GAVOTTO Mauro,Spiker,1979,202,CN,ITA,-,-
2005/2006,A1,Acqua Paradiso Gabeca Montichiari,17,MESZAROS Domotor,Spiker,1976,199,HUN,HUN,-,-
2005/2006,A1,Benacquista Assicurazioni Latina,1,LATELLI Maurizio,Libero,1974,190,CZ,ITA,-,-
2005/2006,A1,Benacquista Assicurazioni Latina,2,MASINI Andrea,Setter,1971,184,AR,ITA,-,-
2005/2006,A1,Benacquista Assicurazioni Latina,3,MOLTENI Marco,Spiker,1976,196,BS,ITA,-,-
2005/2006,A1,Benacquista Assicurazioni Latina,5,FORTUNATO Francesco,Middleblocker,1977,201,VI,ITA,-,-
2005/2006,A1,Benacquista Assicurazioni Latina,6,DAMARO Umberto,Spiker,1986,190,RM,ITA,-,-
2005/2006,A1,Benacquista Assicurazioni Latina,7,DAS NEVES PEREIRA Cassio Leandro,Setter,1971,189,BRA,BRA,-,-
2005/2006,A1,Benacquista Assicurazioni Latina,9,MATTIOLI Francesco,Spiker,1975,194,FI,ITA,-,-
2005/2006,A1,Benacquista Assicurazioni Latina,10,GRBIC Vladimir,Spiker,1970,193,SRB,SRB,-,-
2005/2006,A1,Benacquista Assicurazioni Latina,12,BIRIBANTI Francesco,Spiker,1976,198,TR,ITA,-,-
2005/2006,A1,Benacquista Assicurazioni Latina,13,CIPOLLARI Paolo,Spiker,1974,200,RM,ITA,-,-
2005/2006,A1,Benacquista Assicurazioni Latina,15,HENRIQUE Randow,Middleblocker,1978,201,BRA,BRA,-,-
2005/2006,A1,Benacquista Assicurazioni Latina,18,BJELICA Novica,Middleblocker,1983,202,CRO,SRB,-,-
2005/2006,A1,Bre Banca Lannutti Cuneo,1,WIJSMANS Wout,Spiker,1977,201,BEL,BEL,-,-
2005/2006,A1,Bre Banca Lannutti Cuneo,2,COSCIONE Manuel,Setter,1980,188,CN,ITA,-,-
2005/2006,A1,Bre Banca Lannutti Cuneo,4,BENDANDI Simone,Setter,1976,196,RA,ITA,-,-
2005/2006,A1,Bre Banca Lannutti Cuneo,5,OMRCEN Igor,Middleblocker,1980,208,CRO,CRO,-,-
2005/2006,A1,Bre Banca Lannutti Cuneo,6,VERGNAGHI Daniele,Libero,1972,193,MI,ITA,-,-
2005/2006,A1,Bre Banca Lannutti Cuneo,7,GODOY FILHO Gilberto Amauri Giba,Spiker,1976,194,BRA,BRA,-,-
2005/2006,A1,Bre Banca Lannutti Cuneo,8,BARANOWICZ Michele,Setter,1989,195,CN,ITA,from 08/01/2006,-
2005/2006,A1,Bre Banca Lannutti Cuneo,9,MARTINO Matteo,Spiker,1987,198,AL,ITA,-,-
2005/2006,A1,Bre Banca Lannutti Cuneo,10,CURTI Valerio,Middleblocker,1978,203,MO,ITA,-,-
2005/2006,A1,Bre Banca Lannutti Cuneo,12,FABBIANI Sandro,Spiker,1978,198,RE,ITA,-,-
2005/2006,A1,Bre Banca Lannutti Cuneo,13,COZZI Paolo,Middleblocker,1980,200,MI,ITA,-,-
2005/2006,A1,Bre Banca Lannutti Cuneo,16,PLATENIK Peter,Spiker,1981,196,SVK,CZE,-,-
2005/2006,A1,Bre Banca Lannutti Cuneo,18,RODRIGUES Anderson,Spiker,1974,190,BRA,BRA,-,-
2005/2006,A1,Cimone Modena,1,MASTRANGELO Luigi,Middleblocker,1975,202,TA,ITA,-,-
2005/2006,A1,Cimone Modena,2,RAK Michal,Middleblocker,1979,206,CZE,CZE,-,-
2005/2006,A1,Cimone Modena,3,MARQUES FONTELES Luiz Felipe,Spiker,1984,203,BRA,BRA,-,-
2005/2006,A1,Cimone Modena,5,SANGIORGIO Riccardo,Spiker,1986,190,MO,ITA,from 09/01/2006,-
2005/2006,A1,Cimone Modena,6,MUREK Dawid,Spiker,1977,196,POL,POL,-,-
2005/2006,A1,Cimone Modena,8,SARTORETTI Andrea,Spiker,1971,194,PG,ITA,-,-
2005/2006,A1,Cimone Modena,9,FORNI Marcello,Middleblocker,1980,200,MO,ITA,-,-
2005/2006,A1,Cimone Modena,11,PIGNATTI Gabriele,Spiker,1978,194,MO,ITA,-,-
2005/2006,A1,Cimone Modena,12,PIPPI Damiano,Libero,1971,194,PG,ITA,-,-
2005/2006,A1,Cimone Modena,13,GIANI Andrea,Middleblocker,1970,196,NA,ITA,-,-
2005/2006,A1,Cimone Modena,14,BELLINI Davide,Setter,1969,197,MO,ITA,-,-
2005/2006,A1,Cimone Modena,17,GARCIA Ricardo,Setter,1975,191,BRA,BRA,-,-
2005/2006,A1,Cimone Modena,18,KROMM Robert,Spiker,1984,211,GER,GER,-,-
2005/2006,A1,Codyeco S.Croce,1,FALASCA Guillermo,Spiker,1977,200,ARG,ESP,-,-
2005/2006,A1,Codyeco S.Croce,2,KOVACEVIC Toni,Spiker,1983,198,BIH,CRO,-,-
2005/2006,A1,Codyeco S.Croce,3,HELD Henk Jan,Middleblocker,1967,200,NED,ITA,-,-
2005/2006,A1,Codyeco S.Croce,4,TOMALINO Massimo,Middleblocker,1976,205,GE,ITA,-,-
2005/2006,A1,Codyeco S.Croce,5,GUEMART Michel,Setter,1983,193,FC,ITA,-,-
2005/2006,A1,Codyeco S.Croce,6,LIMA MARTINS IDI Idner,Spiker,1978,192,BRA,BRA,-,-
2005/2006,A1,Codyeco S.Croce,9,CEI Andrea,Spiker,1974,192,PI,ITA,-,-
2005/2006,A1,Codyeco S.Croce,10,CANTAGALLI Luca,Spiker,1965,199,RE,ITA,-,-
2005/2006,A1,Codyeco S.Croce,10,PAPUCCI Davide,Spiker,1988,198,FI,ITA,from 04/12/2005,-
2005/2006,A1,Codyeco S.Croce,11,DEHNE Frank,Setter,1976,202,GER,GER,-,-
2005/2006,A1,Codyeco S.Croce,13,CORSINI Francesco,Middleblocker,1979,202,PG,ITA,-,-
2005/2006,A1,Codyeco S.Croce,15,PIERI Francesco,Libero,1982,185,PO,ITA,-,-
2005/2006,A1,Codyeco S.Croce,18,JANSEN DE SOUZA MARTINS Wallace,Spiker,1983,204,BRA,BRA,-,-
2005/2006,A1,Copra Berni Piacenza,2,DUNNES Christian,Spiker,1984,207,GER,GER,from 01/12/2005,-
2005/2006,A1,Copra Berni Piacenza,3,CAVALLINI Lorenzo,Middleblocker,1970,198,RE,ITA,-,-
2005/2006,A1,Copra Berni Piacenza,5,CARDONA Maikel Cristobal,Middleblocker,1976,202,CUB,ITA,-,-
2005/2006,A1,Copra Berni Piacenza,6,LANGE Vincent,Spiker,1974,195,GER,GER,-,-
2005/2006,A1,Copra Berni Piacenza,7,MARSHALL Leonel,Spiker,1979,196,CUB,CUB,-,-
2005/2006,A1,Copra Berni Piacenza,9,GRBIC Nikola,Setter,1973,195,SRB,SRB,-,-
2005/2006,A1,Copra Berni Piacenza,10,SANTOS DUTRA Sergio,Libero,1975,184,BRA,BRA,-,-
2005/2006,A1,Copra Berni Piacenza,11,ZLATANOV Hristo,Spiker,1976,201,BUL,ITA,-,-
2005/2006,A1,Copra Berni Piacenza,12,SIMEONOV Ventceslav,Spiker,1977,200,BUL,ITA,-,-
2005/2006,A1,Copra Berni Piacenza,13,BRAVO Joao Paolo,Spiker,1979,197,BRA,BRA,-,-
2005/2006,A1,Copra Berni Piacenza,15,RABEZZANA Edoardo,Setter,1975,192,AT,ITA,-,-
2005/2006,A1,Copra Berni Piacenza,16,BOVOLENTA Vigor,Middleblocker,1974,202,RO,ITA,-,-
2005/2006,A1,Copra Berni Piacenza,17,DECIO Massimiliano,Spiker,1971,194,VA,ITA,-,-
2005/2006,A1,Giotto Padova,1,GARGHELLA Andrea,Libero,1982,192,PD,ITA,-,-
2005/2006,A1,Giotto Padova,2,HIETANEN Matti,Spiker,1983,199,FIN,FIN,-,-
2005/2006,A1,Giotto Padova,3,RODRIGUES Rodrigo Gil,Spiker,1978,196,BRA,BRA,-,-
2005/2006,A1,Giotto Padova,4,OLLI Simo-Pekka,Setter,1985,203,FIN,FIN,-,-
2005/2006,A1,Giotto Padova,6,VERES Peter,Spiker,1979,200,HUN,HUN,-,-
2005/2006,A1,Giotto Padova,7,ESKO Mikko,Setter,1978,198,FIN,FIN,-,-
2005/2006,A1,Giotto Padova,8,BOTTI Massimo,Middleblocker,1973,196,PC,ITA,-,-
2005/2006,A1,Giotto Padova,9,ANDRAE Bjorn,Spiker,1981,200,GER,GER,-,-
2005/2006,A1,Giotto Padova,10,TOVO Davide,Middleblocker,1972,202,RO,ITA,-,-
2005/2006,A1,Giotto Padova,12,PAMPEL Christian,Spiker,1979,195,GER,GER,-,-
2005/2006,A1,Giotto Padova,14,CIBIN Luca,Spiker,1986,186,PD,ITA,-,-
2005/2006,A1,Giotto Padova,18,PISCOPO Cosimo Marco,Middleblocker,1983,205,LE,ITA,-,-
2005/2006,A1,Itas Diatec Trentino,1,TRIMARCHI Alessandro,Libero,1972,184,CT,ITA,from 17/11/2005,-
2005/2006,A1,Itas Diatec Trentino,2,MILLAR Ryan,Middleblocker,1978,200,USA,USA,-,-
2005/2006,A1,Itas Diatec Trentino,2,DE PAOLA Antonio,Spiker,1988,192,LT,ITA,from 04/12/2005,-
2005/2006,A1,Itas Diatec Trentino,3,SAVANI Cristian,Spiker,1982,195,MN,ITA,-,-
2005/2006,A1,Itas Diatec Trentino,4,HELLER Andrè,Middleblocker,1975,199,BRA,BRA,-,-
2005/2006,A1,Itas Diatec Trentino,5,KOOISTRA Wytze,Middleblocker,1982,209,NED,NED,-,-
2005/2006,A1,Itas Diatec Trentino,6,MEONI Marco,Setter,1973,196,PD,ITA,-,-
2005/2006,A1,Itas Diatec Trentino,7,DELLA LUNGA Dore,Spiker,1984,192,AN,ITA,-,-
2005/2006,A1,Itas Diatec Trentino,8,MESCOLI Marcello,Setter,1972,193,MO,ITA,-,-
2005/2006,A1,Itas Diatec Trentino,9,NASCIMENTO Andrè,Spiker,1979,199,BRA,BRA,-,-
2005/2006,A1,Itas Diatec Trentino,12,CUMINETTI Juan Carlos,Spiker,1967,202,ARG,ITA,-,-
2005/2006,A1,Itas Diatec Trentino,13,BARANEK Kamil,Spiker,1983,198,CZE,CZE,-,-
2005/2006,A1,Itas Diatec Trentino,14,MORSUT Leonardo,Spiker,1980,196,PD,ITA,-,-
2005/2006,A1,Itas Diatec Trentino,16,BARI Andrea,Libero,1980,185,AN,ITA,-,-
2005/2006,A1,Lube Banca Marche Macerata,1,RAVELLINO Manuele,Middleblocker,1974,201,NA,ITA,-,-
2005/2006,A1,Lube Banca Marche Macerata,3,GEMMI Lorenzo,Spiker,1985,199,MC,ITA,-,-
2005/2006,A1,Lube Banca Marche Macerata,4,PAPARONI Alessandro,Spiker,1981,191,MC,ITA,-,-
2005/2006,A1,Lube Banca Marche Macerata,5,MISTOCO Junot,Spiker,1979,198,FRA,FRA,-,-
2005/2006,A1,Lube Banca Marche Macerata,7,DENNIS Angel,Spiker,1977,194,CUB,ITA,-,-
2005/2006,A1,Lube Banca Marche Macerata,8,"SANTANA Rodrigo ""Rodrigao""",Middleblocker,1979,205,BRA,BRA,from 28/09/2005,-
2005/2006,A1,Lube Banca Marche Macerata,10,SINTINI Giacomo,Setter,1979,196,RA,ITA,-,-
2005/2006,A1,Lube Banca Marche Macerata,11,MONOPOLI Natale,Setter,1975,183,VE,ITA,-,-
2005/2006,A1,Lube Banca Marche Macerata,12,GERIC Andrija,Middleblocker,1977,203,SRB,SRB,-,-
2005/2006,A1,Lube Banca Marche Macerata,13,CORSANO Mirko,Libero,1973,191,LE,ITA,-,-
2005/2006,A1,Lube Banca Marche Macerata,14,MILJKOVIC Ivan,Spiker,1979,206,SRB,SRB,-,-
2005/2006,A1,Lube Banca Marche Macerata,15,HERPE Renaud,Spiker,1975,198,FRA,FRA,-,-
2005/2006,A1,Marmi Lanza Verona,1,MORO Stefano,Spiker,1982,200,AL,ITA,-,-
2005/2006,A1,Marmi Lanza Verona,2,SEMENZATO Andrea,Middleblocker,1981,208,VE,ITA,-,-
2005/2006,A1,Marmi Lanza Verona,3,RIGATELLI Alessandro,Spiker,1967,191,VR,ITA,-,-
2005/2006,A1,Marmi Lanza Verona,4,PES Giuseppe,Setter,1975,191,VR,ITA,-,-
2005/2006,A1,Marmi Lanza Verona,8,KARIPIDIS Theoklitos,Spiker,1980,198,GRE,GRE,until 23/11/2005,trasferito a Fiorese Bassano
2005/2006,A1,Marmi Lanza Verona,9,NUTI Marco,Setter,1970,190,PI,ITA,-,-
2005/2006,A1,Marmi Lanza Verona,9,BERNARDI Lorenzo,Spiker,1968,199,TN,ITA,from 11/11/2005,-
2005/2006,A1,Marmi Lanza Verona,11,SORCINELLI Giuseppe,Libero,1971,195,PU,ITA,-,-
2005/2006,A1,Marmi Lanza Verona,12,GATO Ramon Moya,Spiker,1973,192,CUB,CUB,-,-
2005/2006,A1,Marmi Lanza Verona,14,HERNANDEZ Ihosvany,Middleblocker,1972,206,CUB,CUB,-,-
2005/2006,A1,Marmi Lanza Verona,15,HOWARD Daniel Allan,Middleblocker,1976,209,AUS,AUS,-,-
2005/2006,A1,Marmi Lanza Verona,16,GRANVORKA Frantz,Spiker,1976,195,FRA,FRA,-,-
2005/2006,A1,Marmi Lanza Verona,18,BARTMAN Zbigniew,Spiker,1987,195,POL,POL,-,-
2005/2006,A1,RPA Caffè Maxim Perugia,1,LEBL Martin,Middleblocker,1980,201,CZE,CZE,-,-
2005/2006,A1,RPA Caffè Maxim Perugia,2,ZAYTSEV Ivan,Setter,1988,202,PG,ITA,-,-
2005/2006,A1,RPA Caffè Maxim Perugia,4,VUJEVIC Goran,Spiker,1973,192,MNE,SRB,-,-
2005/2006,A1,RPA Caffè Maxim Perugia,5,TOFOLI Paolo,Setter,1966,188,FM,ITA,-,-
2005/2006,A1,RPA Caffè Maxim Perugia,6,BARBONE Giuseppe,Middleblocker,1974,200,BA,ITA,-,-
2005/2006,A1,RPA Caffè Maxim Perugia,7,NOVOTNY Jakub,Spiker,1979,196,CZE,CZE,-,-
2005/2006,A1,RPA Caffè Maxim Perugia,9,DI FRANCO Massimiliano,Middleblocker,1978,203,CL,ITA,-,-
2005/2006,A1,RPA Caffè Maxim Perugia,11,HERNANDEZ Osvaldo,Spiker,1970,198,CUB,CUB,-,-
2005/2006,A1,RPA Caffè Maxim Perugia,12,MESSANA Dario,Libero,1979,188,CT,ITA,-,-
2005/2006,A1,RPA Caffè Maxim Perugia,13,SWIDERSKI Sebastian,Spiker,1977,196,POL,POL,-,-
