Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2005/2006,A1,Regular_Season,1st,1,-,1,9/10/2005,18:00,1645,12109,C,Radio105 Foppapedretti BG,Volley Bergamo,3,0,8,16,21,25,6,12,14,17,7,15,21,25,8,16,18,20,9,16,21,25,8,13,13,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,25,36,74,5,2,50,2,0.86,0.42,94,5,8,47,0.5,1,8
2005/2006,A1,Regular_Season,1st,1,-,1,9/10/2005,18:00,1645,12109,O,Megius Volley Padova,Padova,0,3,6,12,14,17,8,16,21,25,8,16,18,20,7,15,21,25,8,13,13,18,9,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,10,17,55,5,2,69,2,0.78,0.33,95,11,8,33,0.35,-,8
2005/2006,A1,Regular_Season,1st,1,-,2,8/10/2005,16:00,2000,2200,C,Despar Perugia,Perugia,3,0,8,16,21,25,5,11,12,12,8,16,21,25,5,10,13,15,8,16,21,25,5,8,9,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,35,44,74,4,7,36,-,0.83,0.53,86,5,4,43,0.5,-,7
2005/2006,A1,Regular_Season,1st,1,-,2,8/10/2005,16:00,2000,2200,O,Primaidea.Com Tortolì,Tortolì,0,3,5,11,12,12,8,16,21,25,5,10,13,15,8,16,21,25,5,8,9,12,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,9,-1,40,4,-,70,8,0.7,0.5,87,11,7,26,0.3,1,4
2005/2006,A1,Regular_Season,1st,1,-,3,9/10/2005,18:00,1617,8850,C,Sant'Orsola Asystel Novara,Novara Trecate,3,0,8,16,21,25,2,10,12,15,8,16,21,25,5,13,15,17,8,16,21,25,4,9,13,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,30,36,73,11,2,42,2,0.76,0.6,85,-,6,45,0.53,1,9
2005/2006,A1,Regular_Season,1st,1,-,3,9/10/2005,18:00,1617,8850,O,Original Marines Arzano Na,Arzano,0,3,2,10,12,15,8,16,21,25,5,13,15,17,8,16,21,25,4,9,13,16,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,9,6,50,8,1,62,2,0.74,0.53,88,6,9,28,0.32,4,6
2005/2006,A1,Regular_Season,1st,1,-,4,9/10/2005,18:00,1220,4173,C,Minetti Infoplus Vicenza,Vicenza,3,2,8,16,21,25,5,12,16,20,5,10,15,19,8,16,21,25,7,16,21,25,8,13,18,22,5,16,20,22,8,15,21,25,5,10,12,15,2,5,6,8,74,28,36,105,13,1,90,3,0.69,0.46,155,16,6,63,0.41,-,10
2005/2006,A1,Regular_Season,1st,1,-,4,9/10/2005,18:00,1220,4173,O,Bigmat Kerakoll Chieri,Chieri,2,3,5,12,16,20,8,16,21,25,8,16,21,25,5,10,15,19,8,13,18,22,7,16,21,25,8,15,21,25,5,16,20,22,2,5,6,8,5,10,12,15,67,24,31,100,10,1,92,2,0.63,0.49,161,14,10,60,0.37,-,6
2005/2006,A1,Regular_Season,1st,1,-,5,8/10/2005,18:30,2200,2200,C,Tecnomec Europa Systems Forlì,Forlì (Ex Forlimpopoli),0,3,7,14,18,22,8,16,21,25,1,5,9,10,8,16,21,25,7,11,14,17,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,4,-1,50,7,1,68,3,0.78,0.5,94,9,14,24,0.26,1,8
2005/2006,A1,Regular_Season,1st,1,-,5,8/10/2005,18:30,2200,2200,O,Scavolini Pesaro,Pesaro,3,0,8,16,21,25,7,14,18,22,8,16,21,25,1,5,9,10,8,16,21,25,7,11,14,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,25,34,74,6,3,43,1,0.84,0.6,94,7,8,40,0.43,1,14
2005/2006,A1,Regular_Season,1st,1,-,6,8/10/2005,20:30,939,3837,C,Monte Schiavo Banca Marche Jesi,Jesi,3,0,8,16,21,25,5,14,18,21,8,16,21,25,6,10,13,18,7,16,21,25,8,13,19,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,23,39,73,7,5,59,3,0.56,0.37,96,4,7,48,0.5,1,8
2005/2006,A1,Regular_Season,1st,1,-,6,8/10/2005,20:30,939,3837,O,Alfieri Volley Santeramo,Santeramo,0,3,5,14,18,21,8,16,21,25,6,10,13,18,8,16,21,25,8,13,19,21,7,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,12,19,62,3,1,66,6,0.61,0.23,103,10,8,38,0.37,-,7
2005/2006,A1,Regular_Season,1st,2,-,7,12/10/2005,20:30,960,2840,C,Original Marines Arzano Na,Arzano,1,3,8,16,21,26,7,11,19,24,6,11,16,19,8,16,21,25,6,13,17,22,8,16,21,25,8,16,21,23,6,15,20,25,-,-,-,-,-,-,-,-,58,19,20,91,8,3,87,3,0.83,0.69,128,11,15,47,0.37,1,8
2005/2006,A1,Regular_Season,1st,2,-,7,12/10/2005,20:30,960,2840,O,Radio105 Foppapedretti BG,Volley Bergamo,3,1,7,11,19,24,8,16,21,26,8,16,21,25,6,11,16,19,8,16,21,25,6,13,17,22,6,15,20,25,8,16,21,23,-,-,-,-,-,-,-,-,77,29,32,98,11,3,83,4,0.72,0.57,140,20,8,59,0.42,2,15
