Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,1,Lahme Suzanne,-,-,-,-,-,-,-,-,18,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,2,Siscovich Ingrid,-,-,-,-,-,-,-,-,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,3,Nicora Francesca,-,-,-,-,-,-,-,-,14,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,4,Dirickx Frauke,-,-,-,-,-,-,-,-,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,7,Cross Battle Tara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,8,Zanolla Emma,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,9,Haneef Tayyba,-,-,-,-,-,-,-,-,21,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,10,Radulovic Bojana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,11,Romanò Maria Pia,-,-,-,-,-,-,-,-,19,19,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,12,Bo Anna,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,C,Cerdisa Reggio Emilia,Reggio Emilia,13,Vecerkova Micaela,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,O,PinetaMasciaGuru Ravenna,Ravenna,1,Perez Del Solar Gabriela,-,-,-,-,-,-,-,-,17,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,O,PinetaMasciaGuru Ravenna,Ravenna,4,Babbi Francesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,O,PinetaMasciaGuru Ravenna,Ravenna,5,Sykora Stacy,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,O,PinetaMasciaGuru Ravenna,Ravenna,7,Navarrini Chiara,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,O,PinetaMasciaGuru Ravenna,Ravenna,8,Tonelli Elena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,O,PinetaMasciaGuru Ravenna,Ravenna,9,Van Thiel Claudia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,O,PinetaMasciaGuru Ravenna,Ravenna,10,Causevic Mia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,O,PinetaMasciaGuru Ravenna,Ravenna,11,Beccaria Vania,-,-,-,-,-,-,-,-,34,34,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,O,PinetaMasciaGuru Ravenna,Ravenna,12,Tilson Kathleen,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,O,PinetaMasciaGuru Ravenna,Ravenna,13,Donets Irina,-,-,-,-,-,-,-,-,18,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,1,622,9/10/2002,20:30,-,-,O,PinetaMasciaGuru Ravenna,Ravenna,15,De Tassis Ana Paula,-,-,-,-,-,-,-,-,9,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,C,Icot Tec Forlì,Forlì (Ex Forlimpopoli),3,Parenti Daria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,C,Icot Tec Forlì,Forlì (Ex Forlimpopoli),4,Poli Tania,-,-,-,-,-,-,-,-,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,C,Icot Tec Forlì,Forlì (Ex Forlimpopoli),5,Betcheva Teodora Peeva,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,C,Icot Tec Forlì,Forlì (Ex Forlimpopoli),6,Adams Monique,-,-,-,-,-,-,-,-,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,C,Icot Tec Forlì,Forlì (Ex Forlimpopoli),7,Sangiuliano Rachele,-,-,-,-,-,-,-,-,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,C,Icot Tec Forlì,Forlì (Ex Forlimpopoli),8,Rinieri Simona,-,-,-,-,-,-,-,-,13,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,C,Icot Tec Forlì,Forlì (Ex Forlimpopoli),9,Galastri Elisa,-,-,-,-,-,-,-,-,9,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,C,Icot Tec Forlì,Forlì (Ex Forlimpopoli),11,Cremonesi Cristiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,C,Icot Tec Forlì,Forlì (Ex Forlimpopoli),12,Qun Su Li,-,-,-,-,-,-,-,-,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,C,Icot Tec Forlì,Forlì (Ex Forlimpopoli),13,Puerari Ramona,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,C,Icot Tec Forlì,Forlì (Ex Forlimpopoli),14,Cella Elisa,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,O,CIA Minetti Vicenza,Vicenza,3,Petrara Viviana Dominko,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,O,CIA Minetti Vicenza,Vicenza,6,Pinese Alessandra,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,O,CIA Minetti Vicenza,Vicenza,7,Hartley Erin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,O,CIA Minetti Vicenza,Vicenza,9,Glinka Malgorzata,-,-,-,-,-,-,-,-,18,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,O,CIA Minetti Vicenza,Vicenza,10,Zilio Isabella,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002/2003,A1,Coppa_Italia,8th,1,2,623,9/10/2002,20:30,500,-,O,CIA Minetti Vicenza,Vicenza,11,Smith Colleen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
