Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2002/2003,A1,Asystel Milano,1,MILINKOVIC Marcos Antonio,Spiker,1971,204,ARG,ARG,-,-
2002/2003,A1,Asystel Milano,3,HELD Henk Jan,Middleblocker,1967,200,NED,ITA,-,-
2002/2003,A1,Asystel Milano,4,NUMMERDOR Reinder,Spiker,1976,193,NED,NED,-,-
2002/2003,A1,Asystel Milano,5,COZZI Paolo,Middleblocker,1980,200,MI,ITA,-,-
2002/2003,A1,Asystel Milano,6,VERGNAGHI Daniele,Libero,1972,193,MI,ITA,-,-
2002/2003,A1,Asystel Milano,7,GATTI Davide,Spiker,1980,194,MI,ITA,-,-
2002/2003,A1,Asystel Milano,8,CASAGRANDE Paolo,Setter,1980,185,NO,ITA,-,-
2002/2003,A1,Asystel Milano,9,GRBIC Nikola,Setter,1973,195,SRB,SRB,-,-
2002/2003,A1,Asystel Milano,10,ROSALBA Simone,Spiker,1976,197,CS,ITA,-,-
2002/2003,A1,Asystel Milano,11,ZLATANOV Hristo,Spiker,1976,201,BUL,ITA,-,-
2002/2003,A1,Asystel Milano,12,CAZZANIGA Roberto,Spiker,1979,200,MI,ITA,-,-
2002/2003,A1,Asystel Milano,15,SHADCHIN Alexander,Middleblocker,1969,203,UKR,UKR,-,-
2002/2003,A1,Bossini Gabeca Montichiari,1,COSCIONE Manuel,Setter,1980,188,CN,ITA,-,-
2002/2003,A1,Bossini Gabeca Montichiari,2,MILLAR Ryan,Middleblocker,1978,200,USA,USA,-,-
2002/2003,A1,Bossini Gabeca Montichiari,3,SAVANI Cristian,Spiker,1982,195,MN,ITA,-,-
2002/2003,A1,Bossini Gabeca Montichiari,4,BARTOLETTI Andrea,Spiker,1978,203,AN,ITA,until 06/11/2002,trasferito a Videx Royal Pat Grottazzolina
2002/2003,A1,Bossini Gabeca Montichiari,5,HUBNER Stefan,Middleblocker,1975,200,GER,GER,-,-
2002/2003,A1,Bossini Gabeca Montichiari,6,SARACENI Gianluca,Spiker,1979,200,RM,ITA,-,-
