Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2002/2003,A1,Asystel Novara,1,ANZANELLO SARA,Middleblocker,1980,192,ITA,-
2002/2003,A1,Asystel Novara,2,VIGANÒ NATALIA,Spiker,1979,178,ITA,-
2002/2003,A1,Asystel Novara,6,SUN YUE,Spiker,1973,186,CHN,-
2002/2003,A1,Asystel Novara,7,HE QUI,Setter,1973,178,CHN,-
2002/2003,A1,Asystel Novara,8,VENTURINI LAURA,Setter,1977,172,ITA,-
2002/2003,A1,Asystel Novara,9,SEKULIC BRANKA,Middleblocker,1971,188,SCG,-
2002/2003,A1,Asystel Novara,10,CARDULLO PAOLA,Libero,1982,162,ITA,-
2002/2003,A1,Asystel Novara,11,PIRV CRISTINA,Spiker,1972,185,ROM,-
2002/2003,A1,Asystel Novara,12,CONFALONIERI MARTA,Spiker,1985,188,ITA,-
2002/2003,A1,Asystel Novara,13,PORZIO NOEMI,Libero,1984,176,ITA,-
2002/2003,A1,Asystel Novara,14,GUIGGI MARTINA,Middleblocker,1984,188,ITA,-
2002/2003,A1,Asystel Novara,17,CHIHAB NABILA,Middleblocker,1984,188,ITA,-
2002/2003,A1,Asystel Novara,18,DE CARNE VIRGINIE,Spiker,1977,190,BEL,-
2002/2003,A1,Cerdisa Reggio Emilia,1,LAHME SUZANNE,Middleblocker,1968,183,GER,-
2002/2003,A1,Cerdisa Reggio Emilia,2,SISCOVICH INGRID,Spiker,1980,184,CRO,-
2002/2003,A1,Cerdisa Reggio Emilia,3,NICORA FRANCESCA,Spiker,1978,182,ITA,-
2002/2003,A1,Cerdisa Reggio Emilia,4,DIRICKX FRAUKE,Setter,1980,186,BEL,-
2002/2003,A1,Cerdisa Reggio Emilia,7,RADULOVIC BOJANA,Setter,1984,176,SCG,-
2002/2003,A1,Cerdisa Reggio Emilia,8,QUARANTELLI TANIA,Spiker,1974,175,ITA,from 27/11/2002
2002/2003,A1,Cerdisa Reggio Emilia,8,ZANOLLA EMMA,Libero,1982,180,ITA,until 23/11/2002
2002/2003,A1,Cerdisa Reggio Emilia,9,HANEEF TAYYBA,Spiker,1979,201,USA,-
2002/2003,A1,Cerdisa Reggio Emilia,10,WEERSING HENRIETTE,Spiker,1965,187,NED,from 27/11/2002
2002/2003,A1,Cerdisa Reggio Emilia,11,ROMANÒ MARIA PIA,Middleblocker,1976,180,ITA,-
2002/2003,A1,Cerdisa Reggio Emilia,12,BO ANNA,Libero,1974,182,ITA,-
2002/2003,A1,Cerdisa Reggio Emilia,13,VECERKOVA MICAELA,Middleblocker,1973,191,CZE,-
2002/2003,A1,Cerdisa Reggio Emilia,14,CROSS BATTLE TARA,Spiker,1968,180,USA,from 01/10/2002
2002/2003,A1,Città di Palermo,1,SESTI NUNES MIRELA,Libero,1966,180,ITA,until 19/11/2002
2002/2003,A1,Città di Palermo,2,BRAGAGLIA ANTONELLA,Middleblocker,1973,184,ITA,-
2002/2003,A1,Città di Palermo,3,MASER INA,Spiker,1977,183,GER,-
2002/2003,A1,Città di Palermo,4,MARLJUKIC ILONA,Spiker,1973,191,SCG,-
2002/2003,A1,Città di Palermo,5,ROMANOVA DE DUARTE NATALYA,Spiker,1972,186,PER,-
2002/2003,A1,Città di Palermo,6,MANCINO ANA PAULA,Setter,1971,170,ITA,-
2002/2003,A1,Città di Palermo,7,PIETREK ANJA NADIN,Spiker,1979,185,GER,-
2002/2003,A1,Città di Palermo,8,MARJANOVIC BOJANA,Middleblocker,1980,180,SCG,-
2002/2003,A1,Città di Palermo,9,KARALYUS OLESYA,Spiker,1973,181,RUS,-
2002/2003,A1,Città di Palermo,10,ZANOTTI BEATRICE,Middleblocker,1976,186,ITA,-
2002/2003,A1,Città di Palermo,11,STEPANCIKOVA EVA,Setter,1972,178,CZE,-
2002/2003,A1,Città di Palermo,12,MOLTRASIO ANTONELLA,Spiker,1986,170,ITA,-
2002/2003,A1,Città di Palermo,13,DI BLASI ILENIA,Spiker,1982,175,ITA,-
2002/2003,A1,Despar Perugia,1,POTACHOVA OLGA,Spiker,1976,204,RUS,-
2002/2003,A1,Despar Perugia,2,CROCE PAOLA,Libero,1978,167,ITA,-
2002/2003,A1,Despar Perugia,3,SWIENIEWICZ DOROTA,Spiker,1972,180,POL,-
2002/2003,A1,Despar Perugia,5,KATIC MARINA,Setter,1983,186,CRO,from 13/11/2002
2002/2003,A1,Despar Perugia,6,ROMANÒ MARIA DEL ROSARIO,Middleblocker,1976,182,ITA,-
2002/2003,A1,Despar Perugia,7,KIRILLOVA IRINA,Setter,1965,180,CRO,-
2002/2003,A1,Despar Perugia,8,FLAMIGNI CRISTINA,Spiker,1984,-,ITA,-
2002/2003,A1,Despar Perugia,8,FLAMINI CRISTINA,Spiker,1984,178,ITA,from 05/10/2002
2002/2003,A1,Despar Perugia,9,GILIOLI ELISABETTA,Spiker,1975,180,ITA,-
2002/2003,A1,Despar Perugia,10,ARCANGELI CHIARA,Spiker,1983,165,ITA,from 26/01/2003
2002/2003,A1,Despar Perugia,11,GIOLI SIMONA,Middleblocker,1977,185,ITA,-
2002/2003,A1,Despar Perugia,12,AGUERO TAISMARY,Spiker,1977,178,CUB,-
2002/2003,A1,Despar Perugia,13,FRANCIA VASCONCELOS MIRKA,Middleblocker,1975,184,CUB,-
2002/2003,A1,Despar Perugia,15,BARTOCCINI ELEONORA,Setter,1984,172,ITA,from 05/10/2002
2002/2003,A1,Icot Tec Forlì,3,PARENTI DARIA,Middleblocker,1977,185,ITA,-
2002/2003,A1,Icot Tec Forlì,4,POLI TANIA,Spiker,1978,181,ITA,-
2002/2003,A1,Icot Tec Forlì,5,BETCHEVA TEODORA PEEVA,Spiker,1971,180,BUL,-
2002/2003,A1,Icot Tec Forlì,6,ADAMS MONIQUE,Spiker,1970,188,USA,from 19/09/2002
2002/2003,A1,Icot Tec Forlì,7,LJUNGQUIST ANGELICA,Spiker,1974,195,SWE,from 27/10/2002
2002/2003,A1,Icot Tec Forlì,7,SANGIULIANO RACHELE,Setter,1981,182,ITA,-
2002/2003,A1,Icot Tec Forlì,8,RINIERI SIMONA,Spiker,1977,188,ITA,-
2002/2003,A1,Icot Tec Forlì,9,GALASTRI ELISA,Middleblocker,1978,183,ITA,-
2002/2003,A1,Icot Tec Forlì,11,CREMONESI CRISTIANA,Setter,1974,178,ITA,-
2002/2003,A1,Icot Tec Forlì,12,QUN SU LI,Middleblocker,1970,185,CHN,-
