Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2021/2022,A1,Allianz Milano,1,CHINENYEZE Barthelemy,Middleblocker,1998,204,FRA,FRA,-,-
2021/2022,A1,Allianz Milano,2,STAFORINI Matteo,Libero,2003,192,BG,ITA,-,-
2021/2022,A1,Allianz Milano,5,DALDELLO Nicola,Setter,1983,185,TV,ITA,-,-
2021/2022,A1,Allianz Milano,7,ROMANÒ Yuri,Spiker,1997,203,MB,ITA,-,-
2021/2022,A1,Allianz Milano,8,MAIOCCHI Matteo,Spiker,1998,191,MI,ITA,-,-
2021/2022,A1,Allianz Milano,9,PATRY Jean,Spiker,1996,208,FRA,FRA,-,-
2021/2022,A1,Allianz Milano,11,PIANO Matteo,Middleblocker,1990,209,AT,ITA,-,-
2021/2022,A1,Allianz Milano,12,MOSCA Leandro,Middleblocker,2000,209,MC,ITA,-,-
2021/2022,A1,Allianz Milano,14,ISHIKAWA Yuki,Spiker,1995,192,JPN,JPN,-,-
2021/2022,A1,Allianz Milano,15,DJOKIC Jovan,Spiker,1993,190,SUI,SUI,-,-
2021/2022,A1,Allianz Milano,16,PORRO Paolo,Setter,2001,183,GE,ITA,-,-
2021/2022,A1,Allianz Milano,17,JAESCHKE Thomas,Spiker,1993,198,USA,USA,-,-
2021/2022,A1,Allianz Milano,18,PESARESI Nicola,Libero,1991,190,AN,ITA,-,-
2021/2022,A1,Consar RCM Ravenna,1,VUKASINOVIC Marko,Spiker,1993,196,MNE,MNE,-,-
2021/2022,A1,Consar RCM Ravenna,4,RICCI MACCARINI Lorenzo,Setter,2003,190,BO,ITA,from 02/11/2021,-
2021/2022,A1,Consar RCM Ravenna,5,BIERNAT Mateusz,Setter,1992,195,POL,POL,-,-
2021/2022,A1,Consar RCM Ravenna,6,PIRAZZOLI Matteo,Libero,2000,188,RA,ITA,-,-
2021/2022,A1,Consar RCM Ravenna,7,ERATI Alex,Middleblocker,1994,202,MI,ITA,-,-
2021/2022,A1,Consar RCM Ravenna,8,QUEIROZ FRANCA Andrè Luis,Setter,1992,188,BRA,BRA,from 18/11/2021,-
2021/2022,A1,Consar RCM Ravenna,9,ULRICH Luca,Spiker,1997,197,SUI,SUI,-,-
2021/2022,A1,Consar RCM Ravenna,10,GOI Riccardo,Libero,1992,173,MN,ITA,-,-
2021/2022,A1,Consar RCM Ravenna,11,DIMITROV Dimitar,Spiker,2000,206,BUL,BUL,-,-
2021/2022,A1,Consar RCM Ravenna,13,KLAPWIJK Niels,Spiker,1985,200,NED,NED,-,-
