Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2010/2011,A1,Regular_Season,1st,1,-,1,24/10/2010,18:00,1296,5096,C,Sisley Treviso,Treviso,3,1,7,13,19,21,8,16,21,25,5,14,20,27,8,16,21,25,8,16,21,25,4,11,20,23,6,16,21,25,8,14,17,18,-,-,-,-,-,-,-,-,63,34,-8,97,13,7,71,8,0.54,0.34,106,12,10,39,0.37,-,17
2010/2011,A1,Regular_Season,1st,1,-,1,24/10/2010,18:00,1296,5096,O,Yoga Forlì,Forlì,1,3,8,16,21,25,7,13,19,21,8,16,21,25,5,14,20,27,4,11,20,23,8,16,21,25,8,14,17,18,6,16,21,25,-,-,-,-,-,-,-,-,65,31,-11,92,21,8,84,7,0.57,0.36,128,11,17,47,0.37,-,10
2010/2011,A1,Regular_Season,1st,1,-,2,24/10/2010,18:00,3824,27702,C,Bre Banca Lannutti Cuneo,Cuneo,3,0,8,16,21,25,4,8,13,16,8,16,21,25,3,10,13,15,8,16,21,25,7,13,17,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,27,24,73,8,4,40,-,0.75,0.45,74,3,4,39,0.53,-,12
2010/2011,A1,Regular_Season,1st,1,-,2,24/10/2010,18:00,3824,27702,O,RPA-LuigiBacchi.it San Giustino,Perugia Umbria,0,3,4,8,13,16,8,16,21,25,3,10,13,15,8,16,21,25,7,13,17,20,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,8,-7,53,13,-,65,4,0.69,0.46,92,7,12,34,0.37,-,4
2010/2011,A1,Regular_Season,1st,1,-,3,23/10/2010,16:00,2814,11768,C,Copra Morpho Piacenza,Piacenza,0,3,6,15,21,23,8,16,20,25,7,12,15,21,8,16,21,25,5,13,17,19,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,19,9,65,9,4,65,5,0.65,0.29,84,5,7,38,0.45,-,12
2010/2011,A1,Regular_Season,1st,1,-,3,23/10/2010,16:00,2814,11768,O,Acqua Paradiso Monza Brianza,Monza Brianza,3,0,8,16,20,25,6,15,21,23,8,16,21,25,7,12,15,21,8,16,21,25,5,13,17,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,25,12,73,8,4,56,5,0.52,0.21,83,2,12,49,0.59,-,7
2010/2011,A1,Regular_Season,1st,1,-,4,24/10/2010,18:00,3254,27170,C,Itas Diatec Trentino,Trento,3,0,8,16,21,25,7,13,17,21,7,14,21,26,8,16,20,24,8,16,21,25,4,11,16,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,22,18,75,11,6,55,6,0.69,0.35,75,2,6,41,0.55,-,9
2010/2011,A1,Regular_Season,1st,1,-,4,24/10/2010,18:00,3254,27170,O,BCC-NEP Castellana Grotte,Castellana Grotte Mater,0,3,7,13,17,21,8,16,21,25,8,16,20,24,7,14,21,26,4,11,16,18,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,18,-2,64,9,6,64,7,0.47,0.17,80,9,9,36,0.45,-,6
2010/2011,A1,Regular_Season,1st,1,-,5,24/10/2010,18:00,1738,8791,C,Lube Banca Marche Macerata,Lube,3,0,7,16,21,25,8,14,16,19,8,16,21,25,6,15,19,22,6,16,21,25,8,14,17,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,17,22,73,9,2,46,3,0.59,0.41,70,4,6,37,0.53,-,7
2010/2011,A1,Regular_Season,1st,1,-,5,24/10/2010,18:00,1738,8791,O,Tonno Callipo Vibo Valentia,Vibo Valentia,0,3,8,14,16,19,7,16,21,25,6,15,19,22,8,16,21,25,8,14,17,20,6,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,14,7,63,17,3,64,3,0.55,0.23,76,10,7,36,0.47,-,6
