Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,-,-,C,Scavolini Pesaro,Pesaro,1,Usic Senna,-,-,5.8,1,1,1,-,-,6,2,-3,11,2,1,31,6,0.58,0.29,14,1,-,5,0.36,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,-,-,C,Scavolini Pesaro,Pesaro,3,Olivotto Rossella,-,-,-,-,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,-,-,C,Scavolini Pesaro,Pesaro,5,Mari Francesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,-,-,C,Scavolini Pesaro,Pesaro,7,De Gennaro Monica,L,-,-,*,*,*,-,-,-,-,-,-,-,-,13,-,0.85,0.85,-,-,-,-,-,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,-,-,C,Scavolini Pesaro,Pesaro,8,Saccomani Laura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,5007,-,C,Scavolini Pesaro,Pesaro,9,Manzano Elisa,-,-,7,5,5,5,-,-,7,5,5,11,-,2,-,-,-,-,6,-,1,1,0.17,-,4
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,5007,-,C,Scavolini Pesaro,Pesaro,10,Ferretti Francesca,-,-,6.4,3,3,3,-,-,1,1,-,20,1,-,-,-,-,-,1,-,-,-,-,-,1
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,3212,-,C,Scavolini Pesaro,Pesaro,12,Flier Manon,-,-,6.6,6,6,6,-,-,19,11,14,8,1,1,-,-,-,-,28,2,1,15,0.54,-,3
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,3212,-,C,Scavolini Pesaro,Pesaro,13,Usic Marija,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,2357,-,C,Scavolini Pesaro,Pesaro,14,Guiggi Martina,-,-,6,2,2,2,-,-,8,1,4,14,-,-,-,-,-,-,14,2,1,7,0.5,-,1
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,2357,-,C,Scavolini Pesaro,Pesaro,16,Pascucci Giulia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,1500,-,C,Scavolini Pesaro,Pesaro,18,Hooker Destinee,-,-,6.5,4,4,4,-,-,19,7,16,9,1,-,12,-,0.83,0.42,39,2,-,19,0.49,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,1500,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,1,Anzanello Sara,-,-,6.8,2,2,3,-,-,6,3,4,15,-,3,-,-,-,-,7,-,1,1,0.14,-,2
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,2835,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,2,Gioria Sonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,2835,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,4,Berg Lindsey,-,-,5.8,6,6,1,-,-,2,1,2,11,-,1,-,-,-,-,1,-,-,1,1,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,3530,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,5,Lanzini Alessia,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,3530,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,7,Negrini Chiara,-,-,5.6,1,1,2,-,-,2,1,-1,7,2,-,22,1,0.68,0.45,6,-,-,2,0.33,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,2412,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,8,Cruz Aurea,-,-,6.3,4,4,5,-,-,9,3,2,8,1,1,28,-,0.86,0.43,28,1,5,8,0.29,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,2412,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,9,Kovacova Katarina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,2800,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,10,Cardullo Paola,L,-,-,*,*,*,-,-,-,-,-1,-,-,-,5,1,0.4,0.4,-,-,-,-,-,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,2800,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,11,Easy Megan,-,-,-,*,*,*,-,-,3,1,-1,1,-,-,8,2,0.5,0.5,13,1,1,3,0.23,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,1220,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,12,Aguero Taismary,-,-,5.9,3,3,4,-,-,14,1,9,11,2,-,2,-,1,1,41,2,1,14,0.34,-,-
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,1220,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,13,Calloni Raffaella,-,-,5.9,5,5,6,-,-,6,2,3,8,-,1,3,-,0.67,0.33,8,1,1,4,0.5,-,1
2010/2011,A1,Supercoppa,Final,-,-,0,22/12/2010,20:30,2023,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,14,Bosetti Caterina,-,-,-,-,*,*,-,-,-,-,-1,-,-,-,-,-,-,-,1,1,-,-,-,-,-
2010/2011,A1,Regular_Season,1st,1,-,3001,27/11/2010,20:30,1431,4277,C,Scavolini Pesaro,Pesaro,1,Usic Senna,-,-,6.1,4,1,1,1,-,20,9,13,10,1,-,33,2,0.64,0.48,35,2,1,20,0.57,-,-
